problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
"Company Final Accounts Yeats Ltd, has an authorised capital of €1,600,000 divided into 1,000,000 ordinary shares of €1 each and 600,000 4% preference shares of €1 each. The following trial balance was extracted from its books at 31/12/2023:
The following information and instructions are to be taken into consideration:
(i) Stock at cost on 31/12/2023 was €56,900. This figure includes damaged stock
which cost €3,800 but which now has a net realisable value of 60% of cost.
(ii) The cost of delivery vans is to be written off on a straight line basis over 5 years.
A full year’s depreciation is charged in the year of acquisition and none in the year
of disposal. Delivery vans have a scrap value of 5% of the original cost.
NOTE: During the year a delivery van which had cost €40,000 in 2019 was traded in
for €10,000 against a new delivery van costing €56,000. The cheque for the net
amount of this transaction was incorrectly treated as a purchase of trading stock but
was entered correctly in the bank account. These were the only entries in the books.
(iii) It was discovered that goods had been received from a supplier on 31/12/2023 on a
‘sale or return’ basis. These goods had been entered in the books as a credit
purchase in error. The expected selling price of these goods is €5,000 which is cost
plus 25%.
(iv) Patents (incorporating 3 months investment income) are being written off over a
7-year period which commenced in 2021.
(v) The suspense figure arises as a result of an incorrect figure for debenture interest
(although the correct figure had been entered in the bank account) and discount
allowed €400 entered only in the discount account.
(vi) A new warehouse was purchased during the year for €100,000 plus VAT @13.5%.
The total amount paid to the vendor was entered in the land & buildings account.
No entry was made in the VAT account.
(vii) Buildings are to be depreciated at the rate of 2% of cost per annum (land at cost
was €200,000).
The company revalued land and buildings at €700,000 on 31/12/2023 and this has
yet to be reflected in the accounts.
(viii) The rent received was in respect of a warehouse rented out by the company for
€1,500 per month commencing on the 01/06/2023.
(ix) The Directors recommend that:
1. Provision should be made for both investment income due and debenture
interest due.
2. Provision for bad debts to be adjusted to 4% of debtors.
3. A transfer of €20,000 should be made from profit to the capital reserve. 

Required:
Prepare a trading and profit and loss account for the year ended 31/12/2023",,1a.png,,1a_a.png,
"Company Final Accounts Yeats Ltd, has an authorised capital of €1,600,000 divided into 1,000,000 ordinary shares of €1 each and 600,000 4% preference shares of €1 each. The following trial balance was extracted from its books at 31/12/2023:
The following information and instructions are to be taken into consideration:
(i) Stock at cost on 31/12/2023 was €56,900. This figure includes damaged stock
which cost €3,800 but which now has a net realisable value of 60% of cost.
(ii) The cost of delivery vans is to be written off on a straight line basis over 5 years.
A full year’s depreciation is charged in the year of acquisition and none in the year
of disposal. Delivery vans have a scrap value of 5% of the original cost.
NOTE: During the year a delivery van which had cost €40,000 in 2019 was traded in
for €10,000 against a new delivery van costing €56,000. The cheque for the net
amount of this transaction was incorrectly treated as a purchase of trading stock but
was entered correctly in the bank account. These were the only entries in the books.
(iii) It was discovered that goods had been received from a supplier on 31/12/2023 on a
‘sale or return’ basis. These goods had been entered in the books as a credit
purchase in error. The expected selling price of these goods is €5,000 which is cost
plus 25%.
(iv) Patents (incorporating 3 months investment income) are being written off over a
7-year period which commenced in 2021.
(v) The suspense figure arises as a result of an incorrect figure for debenture interest
(although the correct figure had been entered in the bank account) and discount
allowed €400 entered only in the discount account.
(vi) A new warehouse was purchased during the year for €100,000 plus VAT @13.5%.
The total amount paid to the vendor was entered in the land & buildings account.
No entry was made in the VAT account.
(vii) Buildings are to be depreciated at the rate of 2% of cost per annum (land at cost
was €200,000).
The company revalued land and buildings at €700,000 on 31/12/2023 and this has
yet to be reflected in the accounts.
(viii) The rent received was in respect of a warehouse rented out by the company for
€1,500 per month commencing on the 01/06/2023.
(ix) The Directors recommend that:
1. Provision should be made for both investment income due and debenture
interest due.
2. Provision for bad debts to be adjusted to 4% of debtors.
3. A transfer of €20,000 should be made from profit to the capital reserve. 

Required:
Prepare a balance sheet as at 31/12/2023. ",,1a.png,,1a_b.png,
"Company Final Accounts including a Manufacturing Account
Sexton Ltd has an authorised capital of €1,500,000 divided into 1,100,000 ordinary shares of
€1 each and 400,000 4% preference shares of €1 each. The following trial balance was
extracted from the books on 31/12/2023:
The following information and instructions are to be taken into account:
(i) Stocks on hand at 31/12/2023: Raw materials €33,400
 Work in progress €22,100
 Finished goods €72,000
(ii) During the year raw materials which had cost €5,800 were destroyed by fire. The
insurance company agreed to pay compensation of 90% of their cost. No entry has
been made in the books.
(iii) Finished goods were sent to a customer on 31/12/2023 on a ‘sale or return’ basis.
These goods were recorded in the books as a credit sale of €21,250. This is a markup on cost of 25%.
(iv) The suspense figure arises as a result of discount allowed €800 entered only in the
debtors account and a credit purchase of raw materials €3,000 which was entered
on the incorrect side of the creditor account.
(v) Patents are being written off over a 7-year period which commenced in 2021.
(vi) Included in the figure for sale of scrap materials is €7,000 received from the sale of
an old machine on 31/03/2023. This machine had cost €40,000 on 30/09/2019.
 Plant and machinery is to be depreciated at the rate of 15% of cost per annum
calculated from the date of purchase to the date of sale.
(vii) Buildings are to be depreciated at 2% of cost per annum. (Land at cost on 01/01/2023
was €100,000.)
 Depreciation on buildings is to be allocated 80% to factory and the remainder to
administration expenses.
It was decided to revalue the buildings at €1,200,000 on 31/12/2023 and this has
yet to be reflected in the accounts.
(viii) The figure for Bank in the trial balance has been taken from the firm’s own records.
However, a bank statement dated 31/12/2023 shows an overdraft of €600.
A comparison of the bank account and the bank statement revealed the following
discrepancies:
1. 4 months rent received of €6,000 was paid directly into the firm’s bank
account. This is in relation to spare office space recently let out by Sexton Ltd
commencing on 01/11/2023.
2. A cheque for fees of €3,200 issued to a creditor had not been presented for
payment.
3. A cheque for €1,800 received from a debtor was dishonoured by the bank.
This has not been recorded in the books.
(ix) Provision should be made for the following:
1. Investment income due and debenture interest due.
2. The creation of a provision for bad debts equal to 6% of debtors.
3. A transfer of €20,000 should be made from profit to the capital reserve.
Required:
Prepare a manufacturing, trading and profit and loss account for the year ended
31/12/2023. (75)",,1b.png,,1b_a_1.png,1b_a_2.png
"Company Final Accounts including a Manufacturing Account
Sexton Ltd has an authorised capital of €1,500,000 divided into 1,100,000 ordinary shares of
€1 each and 400,000 4% preference shares of €1 each. The following trial balance was
extracted from the books on 31/12/2023:
The following information and instructions are to be taken into account:
(i) Stocks on hand at 31/12/2023: Raw materials €33,400
 Work in progress €22,100
 Finished goods €72,000
(ii) During the year raw materials which had cost €5,800 were destroyed by fire. The
insurance company agreed to pay compensation of 90% of their cost. No entry has
been made in the books.
(iii) Finished goods were sent to a customer on 31/12/2023 on a ‘sale or return’ basis.
These goods were recorded in the books as a credit sale of €21,250. This is a markup on cost of 25%.
(iv) The suspense figure arises as a result of discount allowed €800 entered only in the
debtors account and a credit purchase of raw materials €3,000 which was entered
on the incorrect side of the creditor account.
(v) Patents are being written off over a 7-year period which commenced in 2021.
(vi) Included in the figure for sale of scrap materials is €7,000 received from the sale of
an old machine on 31/03/2023. This machine had cost €40,000 on 30/09/2019.
 Plant and machinery is to be depreciated at the rate of 15% of cost per annum
calculated from the date of purchase to the date of sale.
(vii) Buildings are to be depreciated at 2% of cost per annum. (Land at cost on 01/01/2023
was €100,000.)
 Depreciation on buildings is to be allocated 80% to factory and the remainder to
administration expenses.
It was decided to revalue the buildings at €1,200,000 on 31/12/2023 and this has
yet to be reflected in the accounts.
(viii) The figure for Bank in the trial balance has been taken from the firm’s own records.
However, a bank statement dated 31/12/2023 shows an overdraft of €600.
A comparison of the bank account and the bank statement revealed the following
discrepancies:
1. 4 months rent received of €6,000 was paid directly into the firm’s bank
account. This is in relation to spare office space recently let out by Sexton Ltd
commencing on 01/11/2023.
2. A cheque for fees of €3,200 issued to a creditor had not been presented for
payment.
3. A cheque for €1,800 received from a debtor was dishonoured by the bank.
This has not been recorded in the books.
(ix) Provision should be made for the following:
1. Investment income due and debenture interest due.
2. The creation of a provision for bad debts equal to 6% of debtors.
3. A transfer of €20,000 should be made from profit to the capital reserve.
Required:
Prepare a balance sheet as at 31/12/2023",,1b.png,,1b_b_1.png,1b_b_2.png
"Published Accounts
Lyne plc has an authorised share capital of €850,000 divided into 650,000 ordinary shares
of €1 each and 200,000 4% preference shares of €1 each. The following trial balance was
extracted from its books on 31/12/2023.
The following information is also relevant:
(i) Stock on 31/12/2023 was €85,000.
(ii) The patent was acquired on 01/01/2018 for €75,000. It is being amortised over 10
years in equal instalments. The amortisation is to be included in cost of sales.
(iii) During the year, land adjacent to the company’s premises, which had cost €210,000,
was sold for €270,000. (The remaining land had cost €200,000).
Depreciation on buildings was at the rate of 2% of cost per annum straight line and is
to be allocated 25% to distribution costs and 75% to administration expenses. There
was no purchase or sale of buildings during the year.
At the end of the year the company revalued its land and buildings at €950,000. The
company wishes to reflect this value in the accounts.
(iv) Vehicles are depreciated at the rate of 20% of cost per annum straight line.
(v) Included in the distribution costs is the receipt of €2,650 for patent royalties.
(vi) Provide for debenture interest due, investment income due, auditor’s fees €8,500 and
corporation tax €87,000
Required:
Prepare the published profit and loss account for the year ended 31/12/2023 in
accordance with the Companies Act and appropriate accounting standards showing the
following notes:
1. Accounting policy note for tangible fixed assets and stock
2. Operating profit
3. Dividends
4. Tangible fixed assets.","Notes to the Accounts
1 Accounting Policy Notes [4]
 Tangible Fixed Assets
Buildings were re-valued at the end of 2023 and have been included in the
accounts at their re-valued amount.
Vehicles are shown at cost.
Depreciation is calculated in order to write off the value or cost of tangible
fixed assets over their estimated useful economic life as follows:
 Buildings 2% per annum straight line
 Vehicles 20% of cost per annum straight line
Stock is valued on a FIFO basis at the lower of cost and net
realisable value
2 Operating Profit [4]
 The operating profit is arrived at after charging
 Depreciation on tangible fixed assets 101,000
 Patent amortised 7,500
 Director’s remuneration 35,000
 Auditors fees 8,500
3 Dividends [2]
 Ordinary Dividends
 Paid 5.8 cent per share 29,000
 Preference Dividends
 Paid 4.0 cent per share 6,000
4 Tangible Fixed Assets [7]",2.png,,2a_1.png,2a_2.png
"Published Accounts
Lyne plc has an authorised share capital of €850,000 divided into 650,000 ordinary shares
of €1 each and 200,000 4% preference shares of €1 each. The following trial balance was
extracted from its books on 31/12/2023.
The following information is also relevant:
(i) Stock on 31/12/2023 was €85,000.
(ii) The patent was acquired on 01/01/2018 for €75,000. It is being amortised over 10
years in equal instalments. The amortisation is to be included in cost of sales.
(iii) During the year, land adjacent to the company’s premises, which had cost €210,000,
was sold for €270,000. (The remaining land had cost €200,000).
Depreciation on buildings was at the rate of 2% of cost per annum straight line and is
to be allocated 25% to distribution costs and 75% to administration expenses. There
was no purchase or sale of buildings during the year.
At the end of the year the company revalued its land and buildings at €950,000. The
company wishes to reflect this value in the accounts.
(iv) Vehicles are depreciated at the rate of 20% of cost per annum straight line.
(v) Included in the distribution costs is the receipt of €2,650 for patent royalties.
(vi) Provide for debenture interest due, investment income due, auditor’s fees €8,500 and
corporation tax €87,000
Required:
(i) Explain the term exceptional item with reference to the accounts of Lyne plc.
 (ii) What regulations must accountants observe when preparing financial statements
for publication? ","(i) An exceptional item is a material item of significant size. It is a profit or loss and must be
shown separately in the profit and loss account because of its size. In Lyne Plc the profit on
the sale of land of €60,000 is an example of an exceptional item.
(ii) Accountants must comply with the following regulations:
The Government – Legislation
The European Union – Directives
Accounting Standards Board-FRS’s and SSAP’s.
The Stock Exchange-Listing Rules",2.png,,,
"Farm Accounts
Among the assets and liabilities of E. Fleming, who carries on a small mixed farming
business, on 01/01/2023 are:
land and buildings at cost €410,000; vehicles and machinery at cost €168,000;
electricity due €250; medicines prepaid €330; value of cattle €88,000;
value of sheep €35,600; milk cheque due €6,900; stock of fuel €370;
two months investment interest due €400.
All fixed assets have 3 years accumulated depreciation on 01/01/2023.
The following is a summary taken from the cheque payments and lodgments books for the
year ended 31/12/2023: 
The following information and instructions are to be taken into account:
 Cattle Sheep
(i) Value of livestock on 31/12/2023 was: €94,000 €51,000
(ii) Farm produce used by Fleming during the year – milk €550; lamb €770.
(iii) Veterinary fees and medicines include a cheque for private health insurance of €1,700.
(iv) General farm expenses, fertiliser, veterinary fees and medicines are to be
apportioned 70% to ‘cattle and milk’ and 30% to ‘sheep’.
(v) All other expenses and costs are to be apportioned 90% to general farm and 10% to
household.
(vi) Vehicles and machinery are to be depreciated at the rate of 10% of cost per annum
and buildings at 2% of cost per annum. (Land at cost was €200,000.)
(vii) On 31/12/2023 there was a milk cheque due €6,950, creditors for fertiliser amounted
to €750 and stock of fuel was €450.
Required:
Prepare Fleming’s statement of capital on 01/01/2023.",,3.png,,3a.png,
"Farm Accounts
Among the assets and liabilities of E. Fleming, who carries on a small mixed farming
business, on 01/01/2023 are:
land and buildings at cost €410,000; vehicles and machinery at cost €168,000;
electricity due €250; medicines prepaid €330; value of cattle €88,000;
value of sheep €35,600; milk cheque due €6,900; stock of fuel €370;
two months investment interest due €400.
All fixed assets have 3 years accumulated depreciation on 01/01/2023.
The following is a summary taken from the cheque payments and lodgments books for the
year ended 31/12/2023: 
The following information and instructions are to be taken into account:
 Cattle Sheep
(i) Value of livestock on 31/12/2023 was: €94,000 €51,000
(ii) Farm produce used by Fleming during the year – milk €550; lamb €770.
(iii) Veterinary fees and medicines include a cheque for private health insurance of €1,700.
(iv) General farm expenses, fertiliser, veterinary fees and medicines are to be
apportioned 70% to ‘cattle and milk’ and 30% to ‘sheep’.
(v) All other expenses and costs are to be apportioned 90% to general farm and 10% to
household.
(vi) Vehicles and machinery are to be depreciated at the rate of 10% of cost per annum
and buildings at 2% of cost per annum. (Land at cost was €200,000.)
(vii) On 31/12/2023 there was a milk cheque due €6,950, creditors for fertiliser amounted
to €750 and stock of fuel was €450.
Required:
Prepare an enterprise analysis account for ‘cattle and milk’ and ‘sheep’ for the year
 ended 31/12/2023. ",,3.png,,3b_1.png,3b_1.png
"Farm Accounts
Among the assets and liabilities of E. Fleming, who carries on a small mixed farming
business, on 01/01/2023 are:
land and buildings at cost €410,000; vehicles and machinery at cost €168,000;
electricity due €250; medicines prepaid €330; value of cattle €88,000;
value of sheep €35,600; milk cheque due €6,900; stock of fuel €370;
two months investment interest due €400.
All fixed assets have 3 years accumulated depreciation on 01/01/2023.
The following is a summary taken from the cheque payments and lodgments books for the
year ended 31/12/2023: 
The following information and instructions are to be taken into account:
 Cattle Sheep
(i) Value of livestock on 31/12/2023 was: €94,000 €51,000
(ii) Farm produce used by Fleming during the year – milk €550; lamb €770.
(iii) Veterinary fees and medicines include a cheque for private health insurance of €1,700.
(iv) General farm expenses, fertiliser, veterinary fees and medicines are to be
apportioned 70% to ‘cattle and milk’ and 30% to ‘sheep’.
(v) All other expenses and costs are to be apportioned 90% to general farm and 10% to
household.
(vi) Vehicles and machinery are to be depreciated at the rate of 10% of cost per annum
and buildings at 2% of cost per annum. (Land at cost was €200,000.)
(vii) On 31/12/2023 there was a milk cheque due €6,950, creditors for fertiliser amounted
to €750 and stock of fuel was €450.
Required:
Prepare Fleming’s general profit & loss account for the year ended 31/12/2023. ",,3.png,,3c.png,
"Farm Accounts
Among the assets and liabilities of E. Fleming, who carries on a small mixed farming
business, on 01/01/2023 are:
land and buildings at cost €410,000; vehicles and machinery at cost €168,000;
electricity due €250; medicines prepaid €330; value of cattle €88,000;
value of sheep €35,600; milk cheque due €6,900; stock of fuel €370;
two months investment interest due €400.
All fixed assets have 3 years accumulated depreciation on 01/01/2023.
The following is a summary taken from the cheque payments and lodgments books for the
year ended 31/12/2023: 
The following information and instructions are to be taken into account:
 Cattle Sheep
(i) Value of livestock on 31/12/2023 was: €94,000 €51,000
(ii) Farm produce used by Fleming during the year – milk €550; lamb €770.
(iii) Veterinary fees and medicines include a cheque for private health insurance of €1,700.
(iv) General farm expenses, fertiliser, veterinary fees and medicines are to be
apportioned 70% to ‘cattle and milk’ and 30% to ‘sheep’.
(v) All other expenses and costs are to be apportioned 90% to general farm and 10% to
household.
(vi) Vehicles and machinery are to be depreciated at the rate of 10% of cost per annum
and buildings at 2% of cost per annum. (Land at cost was €200,000.)
(vii) On 31/12/2023 there was a milk cheque due €6,950, creditors for fertiliser amounted
to €750 and stock of fuel was €450.
Required:
Fleming is considering upgrading the farm with the installation of solar panels at a cost
of €100,000(net of grants). He has estimated that this would reduce energy costs by 40%.
Fleming has asked you to advise him on the financial implications of the installation of
solar panels. Based on the accounts you have prepared what advice would you give?","I would recommend that Fleming install the Solar Panels
The light and heat bill would be reduced by €16,747/€18,608 per annum.
As a result profit would increase and the business would recover the investment of €100,000 in
approximately 6 years.
The farm business can easily afford to finance the €100,000 as it has €32,605 in the bank and
€120,000 in investments and has just repaid a loan of €30,000",3.png,,3d.png,
