problem,answer
"Question 1 (A) Read the information supplied and answer the questions which follow.

Construction developer seeks €3.4m from contractor for breach of contract.
Construction developer claims a contractor left 65-unit social housing scheme in Dublin incomplete and overclaimed payments.

(i) Explain the term breach of contract.","Breach of contract refers to when one party of a legal contract breaks a condition/ major part of the contract.
One party to the contract fails to follow/abide/keep the conditions or a major part of the contract."
"Question 1 (A) Read the information supplied and answer the questions which follow.

Construction developer seeks €3.4m from contractor for breach of contract.
Construction developer claims a contractor left 65-unit social housing scheme in Dublin incomplete and overclaimed payments.

(ii) Illustrate the remedies available for a breach of contract.","Sue for Damages/Compensation:
The injured party can sue the party in breach of contract for any loss suffered because of this breach.
Example Required

Specific Performance:
The court orders the party in breach of contract to carry out the original terms of the contract as agreed.
Example Required

Rescind the Contract:
The contract is set aside/cancelled and both parties revert to the position that had existed before the contract was signed.
Example Required"
Question 1 (B) (i) Describe three features of the Small Claims Procedure for resolving conflict.,"The small claims procedure is a service for consumers who have a claim against a business for an unsatisfactory service
A business can make a claim against another business relating to goods or services purchased. It does not apply to breaches of leasing agreements or debts/liquidation
Maximum compensation: in question must not exceed €2,000.
Low Cost: A small fee of €25 must be paid to use this procedure.
Informal/Speed/Quick: No solicitor is required to make this claim making it cheap and easy to use.
Convenient/Accessibility: It is a very accessible service as claims can be made through the courts online service.
Types of Claims: Claims can be made for faulty goods, bad workmanship or minor damage to property"
Question 1 (B) (ii) Recommend one way you think the Small Claims Procedure could be improved. Provide a reason to support your answer.,"Remove fee to encourage more cases
Increase value of claims that can be made"
"Question 1 (C) (i) List three grounds, under which a dismissal can be deemed unfair according to the Unfair Dismissals Act 1977/2015","Union Membership
Religious or political beliefs
Race
Pregnancy
Age
Member of the Traveller Community
Sexual Orientation
Making a protected disclosure/whistle-blowing
Legal proceeding against an employer
Availing of rights such as maternity leave, adoptive leave etc
Unfair selection for redundancy"
Question 1 (C) (ii) Outline three procedures an employer should follow when dismissing an employee under the Unfair Dismissals Act 1977/2015,"Informal Counselling.
This pre-disciplinary procedure should be carried out to ensure the employee knows the standards expected, and should be carried out by a supervisor/manager. They are made aware of the consequences if they do not meet these standards. If this informal counselling does not bring about the required improvement the formal disciplinary procedure will be invoked.

Formal Verbal Warning
This would involve a meeting with the employee at which the employee could bring a colleague or other representative. At the meeting the employee should be advised of what the problem is and invited to respond and explain his actions. Following the meeting a confirmatory letter should be given to the employee. This letter confirms that the employee has been given a verbal/oral warning, it should also contain the improvements required of the employee in respect of the behaviour which led to the warning and the timeframe within which the improvement must be made.

First Written Warning
If there is no change to the situation, a formal written warning follows the oral warning. A copy will be given to the employee’s representative. This may be followed by a final written warning, suspension without pay, transfer to another task, or section of the enterprise, demotion, some other appropriate disciplinary action short of dismissal and finally dismissal.

Second Written Warning
If the required improvement is not forthcoming within the 3-month period after the 1st written warning then a 2nd written warning may be issued. This is entirely a matter for the employer and it is common for many employers to only issue a 1st and final written warning

Final Written Warning
This warning letter will be the final one prior to dismissal so it is important that it is well drafted as it will be scrutinised closely by the employee and probably his legal advisor. This letter should only refer to the matters which have been the subject of the disciplinary procedure to date, not other matters which have never been put to the employee.

Suspension
The employee is asked not to attend work or engage in any work but will be paid pending a further investigation

Right of Appeal
The employee has the right to a fair and impartial determination of the issues concerned, taking into account any representations made by, or on behalf of, the employee and any other relevant or appropriate evidence, factors or circumstances.
====
In the case of Gross Misconduct the following procedures may apply:

Suspension
The employee is on paid leave pending the outcome on an investigation.

Investigation
A hearing or investigation is carried out. The employee is entitled to representation.

Sanction and Appeal
Following the hearing, an employee may be sanctioned and can appeal any decision. They can also take legal action to pause the process."
"Question 2 (A) (i) Read the information supplied and answer the questions which follow.

The Irish economy is officially in technical recession as GDP shrinks more than expected in third quarter.
Distinguish between economic growth and interest rates.","Economic growth refers an increase in the value of goods and services produced in a country from one period to the next.
Interest rates refer to the cost of borrowing capital expressed as a percentage of the amount borrowed."
"Question 2 (A) (ii) Read the information supplied and answer the questions which follow.

The Irish economy is officially in technical recession as GDP shrinks more than expected in third quarter.
Outline the impacts of an increase in interest rates on Irish businesses.","Increase costs/Reduced profits: Costs increased for Irish businesses as the interest on borrowings and the repayments of loans increases. This has reduced profitability.

Decrease in sales: Consumers have less disposable income due to increase mortgage repayments etc. This leads to a fall in disposable income for consumers and in turn a decrease in sales for Irish businesses.

Business confidence/expansion is less likely: Businesses are more reluctant to use debt capital to fund expansion and therefore postpone/cancel expansion plans."
Question 2 (B) (i) Illustrate your understanding of the term the primary sector.,"The primary sector refers extracting raw materials from natural resources. E.g. Farming, Fishing, Mining, Forestry etc."
Question 2 (B) (ii) Discuss the current trends in the primary sector of the economy.,"Climate Change
More sustainable ways of farming/fishing etc needed.

Environment
reduce waste or pollution, using less chemicals in farming

Health Concerns/Changing consumer tastes
Veganism, organic foods, meat free produce has led to a change in production.

Increases in operating costs.
Operating machinery, fertiliser etc has become more expensive.

Cost of living
Consumers buying cheaper products/services from abroad.

Staff Shortages
Primary sector businesses have struggles to source the employees they need. E.g. Some businesses in the primary sector have tried to source employees from other countries.

Increases in the price of energy/move to renewable energy.
Primary sector producers such as farmers have installed renewable energy sources such as solar panels, wind etc."
"Question 2 (C) (i) Read the information supplied and answer the questions which follow.

Some businesses manipulate their financial records to boost investment.
Explain the term business ethics.",Business ethics are the moral rules/standards/principles that help people to make ethical (right or wrong) choices in a business.
"Question 2 (C) (ii) Read the information supplied and answer the questions which follow.

Some businesses manipulate their financial records to boost investment.
Outline how a business may encourage their employees to be ethical.","Code of Ethics
The business should draft a code of ethics which is a formal written statement setting out the expected behaviour from a business in its dealings with stakeholders.

Encourage “whistle blowing”
Encouraging staff to report unethical behaviour by creating a climate where whistle blowing is rewarded.

Management lead by example
When senior staff is highly ethical & model ethical behaviour it will encourage subordinates to behave in a similar manner.

Staff Training
A code of ethics should be presented to staff at induction training & reminder training should include modules on ethical behaviour.

Rewards/Disciplinary Procedures
Rewards for ethical behaviour & punitive measures for those found behaving in an unethical manner

Ethical Audit
An independent outsider called an ethics auditor examines all aspects of the business: how its managed, where it buys its material etc. The auditor will then send a report to managers highlighting the areas where the business behaved ethically and outlines steps to eradicate the behaviour"
