"problem","image_problem","answer","image_answer"
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(i) Name the piece of apparatus used to measure accurately the 10.0 $\text{cm}^3$ portion of the original vinegar.","","pipette / burette",""
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(ii) Describe how this piece of apparatus was rinsed before use.","","with deionised water / with vinegar",""
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(iii) Describe a suitable method to dilute the 10.0 $\text{cm}^3$ portion of the original vinegar to exactly 50.0 $\text{cm}^3$.","","add (10.0 $\text{cm}^3$ of original) vinegar to (50 $\text{cm}^3$) volumetric flask / to mark with deionised water / (add water to) bring bottom of meniscus to mark",""
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(i) Calculate the volume of undiluted vinegar which would be required to neutralise 25.0 $\text{cm}^3$ of the 0.09 M NaOH solution.","","reference to a factor of 5 / 12.4 ÷ 5 = 2.48 ($\text{cm}^3$)",""
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(ii) Outline an advantage of diluting the vinegar before carrying out the titration.","","smaller (%) error / more accurate (volume) / less (concentrated) NaOH",""
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(i) Name a suitable indicator for this titration.","","phenolphthalein",""
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(ii) State the colour change observed at the end point.","","pink [do not accept purple]
to colourless [do not accept clear]",""
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(i) Calculate the number of moles of sodium hydroxide in each 25.0 $\text{cm}^3$ portion.","","$\frac{0.09 \times 25.0}{1000} = 0.00225 \text{ (moles)}$",""
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(ii) Calculate the number of moles of ethanoic acid in each $\text{cm}^3$ of the diluted vinegar.","","$\frac{0.00225 \div 12.4 = 0.00018 \text{ (moles)}}{}$",""
"A student carried out an experiment to determine the concentration of ethanoic acid in vinegar. A 10.0 $\text{cm}^3$ portion of the vinegar was first diluted to exactly 50.0 $\text{cm}^3$. The diluted vinegar solution was titrated against a 0.09 M sodium hydroxide solution in a conical flask. On average, 12.4 $\text{cm}^3$ of the diluted vinegar were required to neutralise 25.0 $\text{cm}^3$ of the NaOH solution. The titration reaction is described by the following balanced chemical equation:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
(iii) Calculate the concentration of ethanoic acid in the original vinegar in moles per litre.","","$\frac{0.00018 \times 1000}{2.  = 0.91 \text{ (M)}}$",""
