problem,answer
"Logic gates have one or more inputs and a single output. For each logic gate in Column A in the table below enter the output, either 0 or 1, in Column B.
","| Column A Logic gate with input(s) | Column B Output (0 or 1) |
|---|---|
| ![Logic gate with input 1 and 1](Image unavailable) | 1 |
| ![Logic gate with input 0 and 1](Image unavailable) | 0 |
| ![Logic gate with input 1](Image unavailable) | 0 |
| ![Logic gate with input 1 and 0](Image unavailable) | 1 |
| ![Logic gate with input 0 and 0](Image unavailable) | 0 |
| ![Logic gate with input 1 and 1](Image unavailable) | 0 |

Each correct response - 1 mark"
"What is the output displayed by the following Python code?

```python
number = 27
while number < 39:
    print(number, end="" "")
    number = number + 3
```","27 30 33 36

Each correct value in order (x 4) 1 mark
Space between each value 2 marks"
Express the decimal number 121 as an 8-bit binary number.,"0111 1001

Correct including leading zero 6 marks
Correct without leading zero 5 marks
For each calculation error deduct 2 marks
Response with some merit 2 marks"
"Figure 1 shows a row of black and white discs with their position numbers shown under each square. There are only two ways to move a disc:
1. Move into an empty square one position to the left or right, for example 1 → 2 means move the disc from square 1 to square 2.
2. Jump in either direction over a single adjacent disc into an empty space immediately beyond, for example 3 → 1 means move the disc from square 3 to square 1, jumping over a disc in square 2.

Write a sequence of steps, or an algorithm, that swaps all the white discs with the black discs so that the row looks like that shown in Figure 2. You can only move a single disc in each step.
","1 → 2
3 → 1
4 → 3
2 → 4
0 → 2
1 → 0
3 → 1
2 → 3

Full correct solution 6 marks
Four or more correct steps in the correct order 4 marks
Response with some merit 2 marks"
"A leap year is a year that contains an additional day making it 366 days long instead of the usual 365 days. The Python function `is_leap_year`, shown below can be used to determine whether a year (denoted by the parameter `y`) is a leap year or not.

```python
def is_leap_year(y):
  if (y % 400 == 0) or ((y % 4 == 0) and (y % 100 != 0)):
    return True
  else:
    return False
```

Use the code to describe the **two** rules for determining whether a year is a leap year.","Rule 1: If the year is evenly divisible by 400 it is a leap year e.g. 2000 was a leap year

Rule 2: If the year is evenly divisible by 4 and not 100 it is a leap year e.g. 2024 is but 2025 and 2100 are not"
"Many fast-food restaurants have begun using interactive kiosks that allow customers to order food without having to go to a cashier. These kiosks have menu-driven interfaces.
Name **two** principles of universal design and explain how these principles could be met in the design of such systems.","Any two from the following:
*   Equitable Use - by incorporating accessibility features such as adjustable font sizes, colour contrasts, and audio feedback the design can ensure that the interface is usable by people with varying abilities.
*   Flexibility in Use - this principle could be met by providing features that allows the users to interact with the system in different ways e.g. via touch screen or voice commands.
*   Simple and Intuitive Use - this can be achieved in the design by a straightforward and intuitive menu structure with easily understandable icons and labels. Avoid unnecessary complexity to make the interface user-friendly for individuals with different levels of experience.
*   Perceptible Information - the system should communicate necessary information effectively to the user, regardless of ambient conditions or the user's sensory abilities. For example, the menu and instructions on how to pay could be provided through multiple modalities, such as visual cues, text labels, and audio instructions, to cater to users with different sensory capabilities.
*   Tolerance for Error - this can be achieved by including features like confirmation dialogs, clear feedback messages, and the ability to review orders before finalising.
*   Low Physical Effort - the system should ensure that the touch interface is responsive to different levels of pressure, accommodating users with varying physical abilities. Consider alternative input methods for users who may have difficulty with touchscreens.
*   Size and Space for Approach and Use - the kiosks should be designed with varying heights to accommodate users of different statures or those using mobility aids. Ensure there's enough space for wheelchair users to approach and interact comfortably."
"Apply the algorithm shown in pseudo code below to the row of shapes shown in **Figure 4** and illustrate your answer in the boxes provided.

```
problem_solved ← FALSE
LOOP UNTIL problem_solved IS TRUE
  square ← find the leftmost square
  triangle ← find the rightmost triangle
  IF position of square IS GREATER THAN position of triangle
    problem_solved ← TRUE
  ELSE
    swap(square, triangle)
```
","(a)
Step 1: ▲▲▲☐☐☐▲▲☐☐☐
Step 2: ▲▲▲▲☐☐☐▲☐☐☐

(b)
In Step 1 the algorithm has swapped the square from position 4 with the triangle in position 7.
In Step 2 the algorithm has swapped the square from position 4 with the triangle in position 6.
This leaves a final state with all the triangles to the left of all the squares."
"The algorithm described in **part (a)** provides a general solution to the problem it solves.
Explain what is meant by the phrase 'a general solution'.","(b)
* A general solution provides a broad approach that can be applied to different situations
* A general solution will always produce the correct output regardless of the input
* The algorithm does not depend on the size of the input e.g. the number of squares and triangles."
"Explain the meaning of the quote, shown in **Figure 5** above, in relation to online applications.","The meaning of the quote is that when a service such as social media is free, the users become a commodity for these platforms, and their attention and data are the actual products that are monetised. As users interact with social media platforms, they generate valuable data (through their preferences, behaviours etc.). This data is then collected, analysed, and used to create targeted advertising or sold to third parties for various purposes, such as market research or influencing user behaviour.

The quote serves as a reminder that even though users may not be directly paying for the service with money, they are indirectly paying with their personal information and attention."
Provide **one** implication that the quote could have for your use of online applications.,"* Privacy - users often share personal information that becomes valuable for targeted advertising.
* Manipulation of attention - excessive use of online platforms can lead to addictive usage patterns, foster a comparison culture which in turn can have a negative impact on mental health.
* Responsible use - on a positive note, the quote can serve as an educational tool, promoting digital literacy and empowering users to make informed decisions about their online activities such as reading terms and conditions."
