problem,answer
"A student carried out a laboratory experiment to investigate the relationship between the acceleration $a$ of a body and the force $F$ applied to it. During the experiment the student recorded values for the force and measured the associated acceleration.
The following data were recorded.

| F (N)   | 0.2   | 0.3   | 0.4   | 0.5   | 0.6   | 0.7   |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- |
| a (m s$^{-2}$) | 0.280 | 0.422 | 0.554 | 0.702 | 0.837 | 0.982 |

Draw a labelled diagram of how the apparatus was arranged in this experiment.","trolley [4] applied force [3] ticker timer/light gates [3]"
"A student carried out a laboratory experiment to investigate the relationship between the acceleration $a$ of a body and the force $F$ applied to it. During the experiment the student recorded values for the force and measured the associated acceleration.
The following data were recorded.

| F (N)   | 0.2   | 0.3   | 0.4   | 0.5   | 0.6   | 0.7   |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- |
| a (m s$^{-2}$) | 0.280 | 0.422 | 0.554 | 0.702 | 0.837 | 0.982 |

Describe how the student determined the acceleration of the body.","calculate initial velocity and final velocity [3]
measure distance/time interval between velocities [3]
use relevant formula [3]"
"A student carried out a laboratory experiment to investigate the relationship between the acceleration $a$ of a body and the force $F$ applied to it. During the experiment the student recorded values for the force and measured the associated acceleration.
The following data were recorded.

| F (N)   | 0.2   | 0.3   | 0.4   | 0.5   | 0.6   | 0.7   |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- |
| a (m s$^{-2}$) | 0.280 | 0.422 | 0.554 | 0.702 | 0.837 | 0.982 |

Draw a suitable graph to show the relationship between $F$ and $a$.","labelled axes [3]
points plotted [3]
 line of best fit [3]"
"A student carried out a laboratory experiment to investigate the relationship between the acceleration $a$ of a body and the force $F$ applied to it. During the experiment the student recorded values for the force and measured the associated acceleration.
The following data were recorded.

| F (N)   | 0.2   | 0.3   | 0.4   | 0.5   | 0.6   | 0.7   |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- |
| a (m s$^{-2}$) | 0.280 | 0.422 | 0.554 | 0.702 | 0.837 | 0.982 |

Explain how your graph verifies the relationship between $F$ and $a$.","straight line through the origin shows $F$ is proportional to $a$ [3]"
"A student carried out a laboratory experiment to investigate the relationship between the acceleration $a$ of a body and the force $F$ applied to it. During the experiment the student recorded values for the force and measured the associated acceleration.
The following data were recorded.

| F (N)   | 0.2   | 0.3   | 0.4   | 0.5   | 0.6   | 0.7   |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- |
| a (m s$^{-2}$) | 0.280 | 0.422 | 0.554 | 0.702 | 0.837 | 0.982 |

Use your graph to calculate the mass that had been accelerated.","slope formula [3], $m=0.71$ kg [2]"
"A student carried out a laboratory experiment to investigate the relationship between the acceleration $a$ of a body and the force $F$ applied to it. During the experiment the student recorded values for the force and measured the associated acceleration.
The following data were recorded.

| F (N)   | 0.2   | 0.3   | 0.4   | 0.5   | 0.6   | 0.7   |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- |
| a (m s$^{-2}$) | 0.280 | 0.422 | 0.554 | 0.702 | 0.837 | 0.982 |

Sketch the graph that a student would get if they did not account for the presence of a constant frictional force of less than 0.2 N.","a (m s$^{-2}$) vs F (N) graph with a straight line starting at a positive x-intercept. [4]"
"In an experiment to measure the focal length $f$ of a converging lens, a student first found an approximate value for the focal length. Then the student set up the apparatus and recorded the image distance $v$ for different values of the object distance $u$.
The following data were recorded.

| u (cm) | 20.0  | 30.0  | 40.0  | 50.0  |
| ------ | ----- | ----- | ----- | ----- |
| v (cm) | 78.7  | 35.2  | 26.9  | 23.4  |

Describe how the student found an approximate value for the focal length.","focus the image of a distant object on a screen [3], measure the distance from the screen to the lens [3]"
"In an experiment to measure the focal length $f$ of a converging lens, a student first found an approximate value for the focal length. Then the student set up the apparatus and recorded the image distance $v$ for different values of the object distance $u$.
The following data were recorded.

| u (cm) | 20.0  | 30.0  | 40.0  | 50.0  |
| ------ | ----- | ----- | ----- | ----- |
| v (cm) | 78.7  | 35.2  | 26.9  | 23.4  |

Draw a labelled diagram of the apparatus and clearly identify the distances $u$ and $v$.","lens [2], object [2], screen [2], $u$ and $v$ shown. [3]"
"In an experiment to measure the focal length $f$ of a converging lens, a student first found an approximate value for the focal length. Then the student set up the apparatus and recorded the image distance $v$ for different values of the object distance $u$.
The following data were recorded.

| u (cm) | 20.0  | 30.0  | 40.0  | 50.0  |
| ------ | ----- | ----- | ----- | ----- |
| v (cm) | 78.7  | 35.2  | 26.9  | 23.4  |

Describe, with reference to your diagram, how the values for $v$ were determined and measured.","move object/lens/screen [3], until a sharp image is formed [3], measure $v$ with a meter stick [3]"
"In an experiment to measure the focal length $f$ of a converging lens, a student first found an approximate value for the focal length. Then the student set up the apparatus and recorded the image distance $v$ for different values of the object distance $u$.
The following data were recorded.

| u (cm) | 20.0  | 30.0  | 40.0  | 50.0  |
| ------ | ----- | ----- | ----- | ----- |
| v (cm) | 78.7  | 35.2  | 26.9  | 23.4  |

Calculate the focal length of the lens using all of the data in the table.","1/$u$ + 1/$v$ = 1/$f$ [3], 1st calculation of $f$ [3], three further calculations for $f$ [3], average for $f$. [3]"
"In an experiment to measure the specific latent heat of fusion of ice.
The following data were recorded.

| Mass of copper calorimeter                            | 83.2 g   |
| -------------------------------- | ------------------ | -------- |
| Mass of calorimeter + water      | before adding ice  | 132.9 g  |
|                                  | after adding ice   | 138.5 g  |
| Temperature of wate              | before adding ice  | 26.8 °C  |
|                                  | after adding ice   | 17.4 °C  |

Draw a labelled diagram of the apparatus used in this experiment.","ice [2]
calorimeter with water [2]
balance [2]
thermometer [2]"
"In an experiment to measure the specific latent heat of fusion of ice.
The following data were recorded.

| Mass of copper calorimeter                            | 83.2 g   |
| -------------------------------- | ------------------ | -------- |
| Mass of calorimeter + water      | before adding ice  | 132.9 g  |
|                                  | after adding ice   | 138.5 g  |
| Temperature of wate              | before adding ice  | 26.8 °C  |
|                                  | after adding ice   | 17.4 °C  |

State two steps the student took to prepare the ice taken from the freezer.","crush the ice [3]
dry the ice [3]"
"In an experiment to measure the specific latent heat of fusion of ice.
The following data were recorded.

| Mass of copper calorimeter                            | 83.2 g   |
| -------------------------------- | ------------------ | -------- |
| Mass of calorimeter + water      | before adding ice  | 132.9 g  |
|                                  | after adding ice   | 138.5 g  |
| Temperature of wate              | before adding ice  | 26.8 °C  |
|                                  | after adding ice   | 17.4 °C  |

Describe the importance of each step (crush the ice, dry the ice).","crush the ice: ensure the ice was at 0°C / it would melt faster [3], dry the ice: no additional water added / only ice added [3]"
"In an experiment to measure the specific latent heat of fusion of ice.
The following data were recorded.

| Mass of copper calorimeter                            | 83.2 g   |
| -------------------------------- | ------------------ | -------- |
| Mass of calorimeter + water      | before adding ice  | 132.9 g  |
|                                  | after adding ice   | 138.5 g  |
| Temperature of wate              | before adding ice  | 26.8 °C  |
|                                  | after adding ice   | 17.4 °C  |

Use the data in the table to calculate the energy lost by the calorimeter after the ice was added.","$mc \Delta \theta$ [3], $\Delta \theta_{cal} = 9.4$ (°C) [1], 305 J [2]"
"In an experiment to measure the specific latent heat of fusion of ice.
The following data were recorded.

| Mass of copper calorimeter                            | 83.2 g   |
| -------------------------------- | ------------------ | -------- |
| Mass of calorimeter + water      | before adding ice  | 132.9 g  |
|                                  | after adding ice   | 138.5 g  |
| Temperature of wate              | before adding ice  | 26.8 °C  |
|                                  | after adding ice   | 17.4 °C  |

Hence, or otherwise, calculate the specific latent heat of fusion of ice.","$m_{water} = 49.7$ (g); $m_{ice} = 5.6$ (g); $\Delta \theta_{ice} = 17.4$ (°C) [1+1+1]
$ml$ [3], $(ml)_{ice} + (mc\Delta \theta)_{melted ice} = (mc\Delta \theta)_{cal} + (mc\Delta \theta)_{water}$ [2], $l = 3.3 \times 10^5$ J kg$^{-1}$ [2]"
"A student investigated how the fundamental frequency $f$ of a stretched string of length 70 cm varied with its tension $T$. During the experiment, the length of the string was kept constant, and the student varied the tension.
The following data were recorded.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

Draw a labelled diagram of how the apparatus was arranged in this experiment.","stretched string [2], newtonmeter / weights [2], tuning fork / signal generator [2], meter stick / bridges / paper rider [2+2]"
"A student investigated how the fundamental frequency $f$ of a stretched string of length 70 cm varied with its tension $T$. During the experiment, the length of the string was kept constant, and the student varied the tension.
The following data were recorded.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

How did the student determine that resonance had occurred?",paper rider fell off / maximum displacement of the string observed [3]
"A student investigated how the fundamental frequency $f$ of a stretched string of length 70 cm varied with its tension $T$. During the experiment, the length of the string was kept constant, and the student varied the tension.
The following data were recorded.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

Describe how the student determined (a) the frequency $f$, (b) the tension $T$.","(a) read from tuning fork/signal generator [2], (b) read from newtonmeter/weights [2]"
"A student investigated how the fundamental frequency $f$ of a stretched string of length 70 cm varied with its tension $T$. During the experiment, the length of the string was kept constant, and the student varied the tension.
The following data were recorded.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

Draw a suitable graph to show the relationship between $f$ and $T$.","values for $\sqrt{T}$ or $f^2$
| $f^2$ | 65536  | 102400  | 116281  | 181902  | 230400  | 262144  |
| ------- | ------- | ------- | ------- | ------- | ------- | ------- |
| $\sqrt{T}$ | 5.39 | 6.63 | 7.14 | 8.89 | 10.00 | 10.72 | [3]

 labelled axes [3], correct points plotted [3], line of best fit [3]"
"A student investigated how the fundamental frequency $f$ of a stretched string of length 70 cm varied with its tension $T$. During the experiment, the length of the string was kept constant, and the student varied the tension.
The following data were recorded.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

State the relationship between $f$ and $T$.","frequency is proportional to square root of tension [3]"
"A student investigated how the fundamental frequency $f$ of a stretched string of length 70 cm varied with its tension $T$. During the experiment, the length of the string was kept constant, and the student varied the tension.
The following data were recorded.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

Use your graph to determine the mass per unit length of the string used in this experiment.","slope formula, $f = \frac{1}{2l} \sqrt{\frac{T}{\mu}}$ [3+2], $\mu = 2.2 \times 10^{-3}$ kg m$^{-1}$ [3]"
"In an experiment to investigate the relationship between current $I$ and potential difference $V$ for a length of copper wire the following data were recorded.
| V (V) | 1.0  | 2.0  | 3.0  | 4.0  | 5.0  | 6.0  |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- |
| I (A) | 0.14 | 0.26 | 0.43 | 0.58 | 0.70 | 0.84 |

Draw a circuit diagram for this experiment.","power supply, copper wire, ammeter, voltmeter [any 3 × 1]
power supply, copper wire and ammeter in series [3]
 voltmeter in parallel with copper wire [3]
 means of varying voltage [3]"
"In an experiment to investigate the relationship between current $I$ and potential difference $V$ for a length of copper wire the following data were recorded.
| V (V) | 1.0  | 2.0  | 3.0  | 4.0  | 5.0  | 6.0  |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- |
| I (A) | 0.14 | 0.26 | 0.43 | 0.58 | 0.70 | 0.84 |

Draw a suitable graph to show the relationship between $I$ and $V$.","labelled axes [3]
correct points plotted [3]
 line of best fit [3]"
"In an experiment to investigate the relationship between current $I$ and potential difference $V$ for a length of copper wire the following data were recorded.
| V (V) | 1.0  | 2.0  | 3.0  | 4.0  | 5.0  | 6.0  |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- |
| I (A) | 0.14 | 0.26 | 0.43 | 0.58 | 0.70 | 0.84 |

Use your graph to calculate the resistance $R$ of the copper wire.","slope  [3], $R = 7.03$ $\Omega$ [2]"
"In an experiment to investigate the relationship between current $I$ and potential difference $V$ for a length of copper wire the following data were recorded.
| V (V) | 1.0  | 2.0  | 3.0  | 4.0  | 5.0  | 6.0  |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- |
| I (A) | 0.14 | 0.26 | 0.43 | 0.58 | 0.70 | 0.84 |

The student used their results to calculate the resistivity of the copper wire. The following additional data were recorded:
length of wire = 65 cm; diameter of wire = 0.32 mm
Describe how the student determined both the length and the diameter of the copper wire.","length: meter stick, diameter: micrometer/digital callipers [3+3]"
"In an experiment to investigate the relationship between current $I$ and potential difference $V$ for a length of copper wire the following data were recorded.
| V (V) | 1.0  | 2.0  | 3.0  | 4.0  | 5.0  | 6.0  |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- |
| I (A) | 0.14 | 0.26 | 0.43 | 0.58 | 0.70 | 0.84 |

The student used their results to calculate the resistivity of the copper wire. The following additional data were recorded:
length of wire = 65 cm; diameter of wire = 0.32 mm
Calculate the resistivity of the copper wire.","$\rho = \frac{RA}{\ell}$, $A = \pi r^2$ [3+2], $\rho = 8.7 \times 10^{-7}$ $\Omega$ m [3]"
"A meter stick is suspended from its centre of gravity as shown in the diagram. The meter stick is in equilibrium.
Calculate the mass of the apple.","$M = Fd$ [3], $W = mg$ [2], $m = 0.11$ kg [2]"
A simple pendulum has a period of 1.24 s. Calculate the length of the pendulum.,"$T = 2\pi \sqrt{\frac{l}{g}}$ [4], $l = 0.38$ m [3]"
A current of 6 A passes a point in a circuit. Calculate the number of electrons that pass that point every minute.,"$q = It$ [3], $q = 360$ (C) [2], $2.25 \times 10^{21}$ (electrons) [2]"
Calculate the electrostatic force between two protons that are $5.6 \times 10^{-15}$ m apart in a vacuum.,"$F = \frac{1}{4\pi \epsilon_0} \frac{q_1q_2}{r^2}$ [4], 7.36 N [3]"
"The hammer throw is an athletics event where athletes rotate a metal ball, attached to a wire, in a circle before releasing it.
Derive the formula to show the relationship between the radius, velocity and angular velocity of an object moving with uniform circular motion.","$\theta = s/r$ or $v=s/t$ or $\omega = \theta / t$ [3]
combination of two formulae [3]
$v = r\omega$ [3]"
"An athlete rotates a ball of mass 4 kg in a circle of radius 1.25 m. The ball is moving with an angular velocity of 21.6 rad s$^{-1}$ just before it is released.
Calculate the centripetal force acting on the ball just before it is released.","$F=mr\omega^2$ [3]
$F= 2332.8$ N [3]"
"An athlete rotates a ball of mass 4 kg in a circle of radius 1.25 m. The ball is moving with an angular velocity of 21.6 rad s$^{-1}$ just before it is released.
Calculate the magnitude of the velocity of the ball just as it is released.",$(v = r\omega =) 27$ m s$^{-1}$ [3]
"The velocity of the ball as it is released is at an angle of 36° above the horizontal. The ball is released at a height of 1.26 m above the ground and lands 3.79 s later.
With the aid of a labelled diagram, resolve the velocity of the ball into its horizontal and vertical components.","diagram showing horizontal and vertical components [3] 
$u_x = 27 \cos 36^\circ$ [3]
$u_y = 27 \sin 36^\circ$ [3]" 
