problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
Briefly outline a key difference between positive and negative rights.,"Responses may make reference to:
•	A negative right is a freedom *from* something, and a positive right is the freedom *to do* something.
•	For example, the rights to free speech and assembly are *negative* rights, because they restrict others from limiting your freedom
•	A description of a relevant example
Very good description 3M
Good description 2M
Fair description 1M",,,,
Explain the role of the Ceann Comhairle in Dáil Éireann.,"Responses may make reference to:
•	Chairing Dáil debates
•	Supervising votes and declaring results
•	Takes control of the house
Very good explanation 4 - 5M
Good explanation 2 - 3M
Fair explanation 0 - 1M",,,,
Key thinker Andre Gunder-Frank proposed *Dependency Theory* to try and explain why some countries remain underdeveloped. Briefly explain this theory.,"Very good explanation 4 - 5M
Good explanation 2 - 3M
Fair explanation 0 - 1M",,,,
Critique the rise in citizen journalism in the world today.,"Very good critique 4 - 5M
Good critique 2 - 3M
Fair critique 0 - 1M",,,,
"Does learning about human rights, in subjects such as Politics and Society, encourage young people to practise, protect and promote the rights of others? Explain your answer.","Very good explanation 4 - 5M
Good explanation 2 - 3M
Fair explanation 0 - 1M",,,,
Comment on the message in this image in the context of children’s rights in the world today.,"Responses may make reference to:
•	The UNCRC / UDHR
•	The right to education
•	A description of a relevant example

Very good commentary 4 - 5M
Good commentary 2 - 3M
Fair commentary 0 - 1M",1f.png,,,
Describe the purpose of a manifesto in party politics.,"Responses may make reference to:
- To set out a vision or intention for government
- To explain party policies
Very good description 4 - 5M
Good description 2 - 3M
Fair description 0 - 1M",,,,
Comment on the presentation of the message in this image in the context of the climate crisis.,"Very good commentary 4 - 5M
Good commentary 2 - 3M
Fair commentary 0 - 1M",1h.png,,,
Describe *two* features of a democratic state.,"Responses may make reference to:
• Responsible for basic human rights • Free and open media
• Right to vote • Checks and balances
• Law and order • A description of a relevant example
Accept other relevant features
Very good description 3M Good description 2M
Good description 2M Fair description 1M
Fair description 1M
Note: If the first point is awarded 2M or less, mark the second point out of 3M",,,,
Give *two* examples of how the education system in Ireland reinforces Irish identity.,"Responses may make reference to:
• Subject content e.g. Irish language, History, Music, PE
• Significance of religion in schools
Example 1
Very good example 3M Example 2
Good example 2M Good example 2M
Fair example 1M Fair example 1M
Note: If the first point is awarded 2M or less, mark the second point out of 3M",,,,
Describe *two* ways by which a person can become a Senator in Seanad Éireann.,"Responses may make reference to:
• 11 nominated by Taoiseach
• 6 selected by NUI and Trinity College graduates
• 43 selected by TDs, members of the outgoing Seanad and members of County Councils
Example 1
Very good description 3M Example 2
Good description 2M Good description 2M
Fair description 1M Fair description 1M
Note: If the first point is awarded 2M or less, mark the second point out of 3M",,,,
What conclusions can you draw from the statistics below in relation to the media?,"Very good conclusion 3M Good conclusion 2M
Good conclusion 2M Fair conclusion 1M
Fair conclusion 1M
Note: If the first point is awarded 2M or less, mark the second point out of 3M",1l.png,,,
Briefly outline the relationship between Western imperialism and Edward Said’s theory of *Orientalism.*,"Very good outline 4 - 5M
Good outline 2 - 3M
Fair outline 0 - 1M",,,,
"The Central Statistics Office (CSO) issued results in February 2023 from the *Survey on Income and Living Conditions (SILC)* for 2022. It found that in Ireland, the richest 20% have four times the income of the poorest 20%.
What does this statistic suggest about society in Ireland today?","Responses may make reference to:
• Economic inequality in society • Ireland as a class-based society
• Lack of social justice • Description of a relevant example
Very good explanation 4 - 5M
Good explanation 2 - 3M
Fair explanation 0 - 1M",,,,
Briefly describe what it means to have either a left or right-wing political viewpoint.,"Very good description 4 - 5M
Good description 2 - 3M
Fair description 0 - 1M",,,,
