problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
"Apple Vision Pro is an augmented reality and virtual reality headset which has recently been launched.
Distinguish between augmented reality (AR) and virtual reality (VR).","Augmented Reality (AR):
AR enhances the real-world environment by overlaying digital information, such as images, text or 3D models onto it. Users can still see and interact with the physical world while digital content is integrated into their view.
Virtual Reality (VR):
VR creates a completely immersive, computer-generated environment that isolates users from the physical world. Users are fully immersed in a simulated reality through a headset or other VR devices.",Technology_Q1_E.png,,,
"Garden decking panels are increasingly being manufactured from
composite materials.
Outline two advantages of using composite materials when
manufacturing garden decking.","Composite materials can last longer, stronger, are less prone to degradation, will not need surface finishing, can be more impact resistant, various finishes can be got, non-slip etc.",Technology_Q2_E.png,,,
"A 4K UHD interactive touch screen with integrated proximity sensor is shown. 
(i) Explain the term UHD.
(ii)  State the function of the proximity sensor integrated into this screen.","(i) UHD: Ultra High Definition.
(ii) The integration of proximity sensors into UHD screens enhances user experience, convenience, and energy efficiency by allowing the display to respond intelligently to the presence or absence of users in its vicinity.",Technology_Q3_E.png,,,
"The guitar amplifier shown may typically contain a Darlington pair.
(i) Name the main electronic component used in a Darlington pair.
(ii) Outline how a Darlington pair works.","(i) Transistor.
(ii) A Darlington pair is a configuration of two bipolar transistors
(typically NPN type) connected in a way that amplifies the overall current gain of the
pair. The Darlington pair is commonly used in electronic circuits where high current
gain is achieved by combining the current gain of both transistors.",Technology_Q4_E.png,,,
"(i) Use the resistor colour-code table to calculate the value of the resistor shown.
Resistor bands:
Brown
Black
Red
Gold

(ii) Accounting for tolerance, state the maximum and minimum possible values for this resistor.","(i) Value: 1000 $\Omega$
(ii) Maximum value: 1050 $\Omega$
Minimum value: 950 $\Omega$",Technology_Q5_E.png,,,
"Network diagrams use nodes similar to that shown.
(i) Explain the abbreviations.
(ii) Explain how the critical path of a network diagram is
established.","(i) EST: Earliest Start Time
LFT: Latest Finish Time
(ii) The critical path in a network diagram is the sequence of tasks or activities that
determines the overall duration of a project.",Technology_Q6_E.png,,,
"(i) Name the type of gear train shown in the image.
(ii) Calculate the angular velocity of the driving gear A,
if the output speed at the driven gear is 17 RPM.","(i) Compound gear train.
(ii) Calculation:
Driven/Driver x Driven/Driver
$\frac{75}{15} \times \frac{75}{15} = \frac{5}{1} \times \frac{5}{1} = \frac{25}{1} = 25:1$
Gear A rotates 25 times faster.
$25 \times 17 = 425 RPM$
Gear speed Gear A = 425 RPM.",Technology_Q7_E.png,,,
"The voltage drop at 20 mA is a common specification for light emitting diodes (LEDs). The voltage drop for a batch of coloured LEDs is shown below.

(i) Using the given data, calculate the value of the protective resistor required for one green LED in a 12 V lighting project.
(ii) Describe the effect of replacing the green LED with two red LEDs placed in series for the same lighting project.","(I) $R = \frac{V_s - V_{led}}{I} = \frac{12 - 3}{0.02} = 450 \Omega$
(ii) Red LEDs have a lower forward voltage (1.8 V) which means that two red LEDs will
have a forward voltage of 3.6 V. This compares to a 3.0 V for the single green LED.
A smaller protective resistor (420 \Omega) can be used for the two red LEDS in series.",Technology_Q9_E.png,,,
"The GPS luggage tag shown uses satellite navigation systems
and cellular data connectivity to track luggage.
The tag can also be scanned using a QR code on the back of
the device.
Explain each of the terms.
Satellite Navigation Systems:
Cellular data connectivity:
QR Code:
","Satellite Navigation Systems:
Satellite Navigation Systems, commonly known as satellite navigation or satnav, are
systems that use signals from satellites to determine the position, velocity, and real time information of a receiver anywhere on Earth. GPS is the most common example.
Cellular data connectivity:
Cellular data connectivity refers to the ability of a mobile device to access the internet and other data services using cellular networks. It allows users to connect to the internet, browse websites, use online applications and transmit/receive data through mobile devices.
QR Code:
A QR code, or Quick Response code, is a two-dimensional barcode that consists of black squares arranged on a white square grid. QR codes are designed to store and quickly retrieve information, making them a versatile tool used in various applications.",Technology_Q10_E.png,,,
"(i) Calculate the mechanical advantage of a forklift if it lifts a weight of 1800 kg with an effort force of 200 N. Assume $g = 9.81 m/s^2$.
(ii) Explain the advantage of a low centre of gravity on the operation of the forklift","(i) Calculation:
Mechanical advantage = load force / effort force
$\frac{1800 \times 9.81}{200} &= \frac{17658}{200} \\
        &= 88.29$
(2) The center of gravity refers to the point where the entire weight of the forklift is
considered to be concentrated. The low center of gravity increases stability, reduces
the risk of tipping, improves handling, makes the forklift more maneuverable
making the machine safer.",Technology_Q11_E.png,,,
"Using the headings in the table below, describe the carbon footprint associated with producing small batches of car parts, such as the bracket shown, using 3D printing rather than traditional manufacturing processes.
Energy Consumption:
Waste generation:
Materials used:
","Energy Consumption:
It can take a long time to print each product using electrical energy running for hours.
Traditional metal cutting will shape the object quickly using high powered machines.
Waste generation:
3D printing generates minimal waste, subtractive manufacturing of drilling and cutting will generate waste materials. Other forms of traditional manufacturing such as injection moulding or casting will not create much waste.
Materials used:
3D printing is associated with plastic materials (e.g. PLA, ABS, etc.) but has now expanded to a wider range of plastics, composites and metals including aluminium and stainless steel. Traditional manufacturing can process the full range of materials.",Technology_Q12_E.png,,,
"eBörd is a smart table with wireless charging capabilities built into its glass surface.
It generates energy through the capture of indoor and outdoor light.
(i) State one energy conversion that takes place in the eBörd table.
(ii) Outline two reasons for using tubular metals in the design of the table shown.","Smart thermostats for heating, lighting systems, locking systems, doorbells, camera systems, motion sensors units, blind and shade control, smoke and CO monitors, etc.",Technology_Q13_E.png,,,
"Epoxy adhesives and PVA glue are commonly used when assembling materials.
(i) Suggest an appropriate application for epoxy resin and for PVA glue
Epoxy resin:
PVA glue:
(ii) State two safety hazards to be aware of when using adhesives","(i) Epoxy resin:
can be used as a permanent finish or strong bonding applications such as
construction, adhering metals and composites as well as plastic and woods, repair of a full range of items from jewellery to boats, etc.
PVA glue:
wood and paper adhesives, arts and craft use, bookbinding, etc.
(ii) Use of solvents, generation of fumes, skin reaction to adhesives, danger of adhering the user to adhesive, etc.",Technology_Q14_E.png,,,
"Smart Homes use interner-connected devices and system to enhance functionality
(i) Name three devices that may be controlled by a home automation system.
(ii) Explain how energy efficiency might be enhanced with the installation of a home automation system:","(i) 
Smart thermostats for heating, lighting systems, locking systems, doorbells, camera
systems, motion sensors units, blind and shade control, smoke and CO monitors, etc.
(ii) 
Settings may have automated switch off, voice control, systems can be integrated
with temperature or lighting control, energy consumption and water heating can be
monitored, power management, remote operation etc.",Technology_SB-Q2a_E.png,,,
"A wall-mounted controller hub for a smart home is show opposite
(i) Describe, with examples, each of the following parts of a home automation system:
Controller hub:
Smart lighting and thermostats:
Sensors and cameras: 
(ii) Explain the terms user interface and bluetooth
(iii) Outline two ways of protecting privacy and data security when using home automation
systems.","(i) Controller hub: this device will manage and integrate home automation systems. It
provides centralised control, supports device compatibility, ensure security and
privacy, may have capability for remote access, etc.
Smart lighting and thermostats: heat and lighting systems can have remote or sensor
control. Systems can create immersive experiences (mood or interactive lighting)
Sensors and cameras: can be used to record, monitor and control activity.
(ii) User interface: this is the point of interaction between a user and a computer system, it includes keyboards, touchscreens, voice recognition, etc.
Bluetooth: Bluetooth is a wireless communication standard that facilitates short-range
data exchange between electronic devices.
(iii) Use of strong passwords, encryption, software updates, device authentication, review privacy settings, consider methods of storage of data, etc.
",Technology_SB-Q2b_E.png,,,
"Devices, such as home automatioon systems, must be of high quality and be safe to use.
Explain any two of the quality dimensions of performance, conformance, and reliability.
Briefly describe each of the steps in the Deming Cycle.","(i)Performance:
The hub needs to perform its necessary functions every time in an
efficient manner. Poor performance could result in poor perceived quality which will
reduce its competitiveness in the market.
Conformance:
the degree to which a product’s design and operating characteristics meet established
standards.
Reliability:
This dimension reflects the probability of a product malfunctioning or failing within a
specified time period.
(ii) 
Plan: Design or revise business process components to improve results
Do: Implement the plan and measure its performance
Check/Study: Assess the measurements and report the results to decision makers
Act: Decide on changes needed to improve the process",,,,
"In the pursuilt of effective high-visibilit road safety markings, flexible bollards are increasingly being used to delinatte cycle lanes, control parking, or separate vehicles.
Outline two safety benefits of using flexible bollards.
Suggest an appropriate plastic material used to produce these bollards.
Justify your selection.","(i) Are readily visible and reflective at night, will bend without breaking, minimal damage to vehicles that hit them, etc.
(ii) Polypropylene/ABS/polycarbonate/polyurethane: impact resistant plastic material,
can mould easily into shape, will recycle if they need to be replaced, uv resistance,
etc.",Technology_SB-Q3a_E.png,,,
