"problem","image_problem","image2_problem","answer","image_answer","image2_answer"
"(A) Cuntais Deiridh Cuideachta
 Tá caipiteal údaraithe de €1,600,000 ag Yeats Teo. roinnte ina 1,000,000 gnáthscair ar €1 an
ceann agus 600,000 scair thosaíochta 4% ar €1 an ceann. Baineadh an comhardú trialach seo
a leanas as na leabhair ar an 31/12/2023: 
Tá an t-eolas agus na treoracha seo a leanas le cur san áireamh:
(i) Bhí luach €56,900 ar stoc ar a chostas ar 31/12/2023. San áireamh san fhigiúr sin tá
stoc damáistithe a chosain €3,800 agus a bhfuil glanluach inréadaithe de 60% den
chostas anois air.
(ii) Déanfar costas na veaineanna seachadta a dhíscríobh de réir méid cothrom thar 5 bliana.
Déantar dímheas bliana iomláine sa bhliain a nglactar seilbh ar veain agus ní dhéantar aon
dímheas i mbliain a dhiúscartha. Tá dramhluach 5% den chostas tosaigh ar veaineanna
seachadta.
 NÓTA: Le linn na bliana rinneadh veain seachadta a chosain €40,000 in 2019 a thrádáil
isteach ar €10,000 in aghaidh veain nua a chosain €56,000. Caitheadh go hearráideach leis
an seic do ghlanmhéid an bhirt sin mar cheannachán stoc trádála ach iontráladh i gceart é sa
chuntas bainc. Ba iad sin amháin na hiontrálacha a rinneadh sna leabhair.
(iii) Fuarthas amach go raibh earraí faighte ó sholáthraí ar 31/12/2023 ar bhonn ‘díol nó
aischur’. Iontráladh na hearraí sin sna leabhair go hearráideach mar cheannachán
creidmheasa. Meastar gurb é €5,000 an praghas díola do na hearraí sin, is é sin, an
costas móide 25%.
(iv) Tá paitinní (lena n-áirítear 3 mhí d’ioncam infheistíochta) á ndíscríobh thar thréimhse 7
mbliana, a thosaigh in 2021.
(v) Tarlaíonn an figiúr fionraí mar gheall ar fhigiúr earráideach don ús bintiúir (cé go
ndearnadh an figiúr ceart a iontráil sa chuntas bainc) agus lascaine €400 a lamháladh
a bheith iontráilte sa chuntas lascaine amháin.
(vi) Ceannaíodh trádstóras nua le linn na bliana ar €100,000 móide CBL 13.5%. Iontráladh
an méid iomlán a íocadh leis an díoltóir sa chuntas talamh agus foirgneamh. Ní
dhearnadh iontráil ar bith sa chuntas CBL.
(vii) Tá foirgnimh le dímheas ag ráta 2% dá gcostas in aghaidh na bliana (chosain an talamh
€200,000).
Rinne an chuideachta talamh agus foirgnimh a athluacháil ar €700,000 ar 31/12/2023
agus tá an athluacháil seo fós le léiriú sna cuntais.
(viii) Bhain an cíos a fuarthas le trádstóras a lig an chuideachta amach ar cíos €1,500 in
aghaidh na míosa ag tosú ar 01/06/2023.
(ix) Molann na Stiúrthóirí:
1. Gur cheart soláthar a dhéanamh d’ioncam infheistíochta dlite agus d’ús bintiúir
 dlite araon.
2. Go ndéanfaí soláthar in aghaidh drochfhiach a choigeartú go 4% d’fhéichiúnaithe.
 3. Gur cheart €20,000 a aistriú ó bhrabús go dtí an cúlchiste caipitil.
Iarrtar ort:
(a) Cuntas trádála, brabúis agus caillteanais a ullmhú don bhliain dar críoch 31/12/2023","images/accounting/problem/ir_1a.png","","","images/accounting/answer/ir_1a_a.png",""
"(A) Cuntais Deiridh Cuideachta
 Tá caipiteal údaraithe de €1,600,000 ag Yeats Teo. roinnte ina 1,000,000 gnáthscair ar €1 an
ceann agus 600,000 scair thosaíochta 4% ar €1 an ceann. Baineadh an comhardú trialach seo
a leanas as na leabhair ar an 31/12/2023: 
Tá an t-eolas agus na treoracha seo a leanas le cur san áireamh:
(i) Bhí luach €56,900 ar stoc ar a chostas ar 31/12/2023. San áireamh san fhigiúr sin tá
stoc damáistithe a chosain €3,800 agus a bhfuil glanluach inréadaithe de 60% den
chostas anois air.
(ii) Déanfar costas na veaineanna seachadta a dhíscríobh de réir méid cothrom thar 5 bliana.
Déantar dímheas bliana iomláine sa bhliain a nglactar seilbh ar veain agus ní dhéantar aon
dímheas i mbliain a dhiúscartha. Tá dramhluach 5% den chostas tosaigh ar veaineanna
seachadta.
 NÓTA: Le linn na bliana rinneadh veain seachadta a chosain €40,000 in 2019 a thrádáil
isteach ar €10,000 in aghaidh veain nua a chosain €56,000. Caitheadh go hearráideach leis
an seic do ghlanmhéid an bhirt sin mar cheannachán stoc trádála ach iontráladh i gceart é sa
chuntas bainc. Ba iad sin amháin na hiontrálacha a rinneadh sna leabhair.
(iii) Fuarthas amach go raibh earraí faighte ó sholáthraí ar 31/12/2023 ar bhonn ‘díol nó
aischur’. Iontráladh na hearraí sin sna leabhair go hearráideach mar cheannachán
creidmheasa. Meastar gurb é €5,000 an praghas díola do na hearraí sin, is é sin, an
costas móide 25%.
(iv) Tá paitinní (lena n-áirítear 3 mhí d’ioncam infheistíochta) á ndíscríobh thar thréimhse 7
mbliana, a thosaigh in 2021.
(v) Tarlaíonn an figiúr fionraí mar gheall ar fhigiúr earráideach don ús bintiúir (cé go
ndearnadh an figiúr ceart a iontráil sa chuntas bainc) agus lascaine €400 a lamháladh
a bheith iontráilte sa chuntas lascaine amháin.
(vi) Ceannaíodh trádstóras nua le linn na bliana ar €100,000 móide CBL 13.5%. Iontráladh
an méid iomlán a íocadh leis an díoltóir sa chuntas talamh agus foirgneamh. Ní
dhearnadh iontráil ar bith sa chuntas CBL.
(vii) Tá foirgnimh le dímheas ag ráta 2% dá gcostas in aghaidh na bliana (chosain an talamh
€200,000).
Rinne an chuideachta talamh agus foirgnimh a athluacháil ar €700,000 ar 31/12/2023
agus tá an athluacháil seo fós le léiriú sna cuntais.
(viii) Bhain an cíos a fuarthas le trádstóras a lig an chuideachta amach ar cíos €1,500 in
aghaidh na míosa ag tosú ar 01/06/2023.
(ix) Molann na Stiúrthóirí:
1. Gur cheart soláthar a dhéanamh d’ioncam infheistíochta dlite agus d’ús bintiúir
 dlite araon.
2. Go ndéanfaí soláthar in aghaidh drochfhiach a choigeartú go 4% d’fhéichiúnaithe.
 3. Gur cheart €20,000 a aistriú ó bhrabús go dtí an cúlchiste caipitil.
Iarrtar ort:
(b) Clár comhardaithe a ullmhú mar a bhí ar 31/12/2023. ","images/accounting/problem/ir_1a.png","","","images/accounting/answer/ir_1a_b_1.png","images/accounting/answer/ir_1a_b_2.png"
"(B) Cuntais Deiridh Cuideachta agus Cuntas Déantúsaíochta san áireamh
Tá caipiteal údaraithe de €1,500,000 ag Ó Seasnáin Teo. roinnte ina 1,100,000 gnáthscair ar
€1 an ceann agus 400,000 scair thosaíochta 4% ar €1 an ceann. Baineadh an comhardú
trialach seo a leanas as na leabhair ar 31/12/2023:
Tá an t-eolas agus na treoracha seo a leanas le cur san áireamh:
(i) Stoic ar láimh ar an 31/12/2023: Amhábhair €33,400
 Obair idir lámha €22,100
 Earraí críochnaithe €72,000
(ii) Le linn na bliana scrios dóiteán amhábhar a chosain €5,800. D’aontaigh an
chuideachta árachais 90% dá gcostas a íoc mar chúiteamh. Ní dhearnadh iontráil
ar bith sna leabhair.
(iii) Cuireadh earraí críochnaithe chuig custaiméir ar an 31/12/2023 ar bhonn ‘díol nó
aischur’. Taifeadadh na hearraí sin sna leabhair mar dhíolachán ar cairde €21,250.
Is ionann sin agus marcáil suas 25% ar chostas.
(iv) Tarlaíonn an figiúr fionraí mar gheall ar lascaine lamháilte €800 a iontráladh i
gcuntas na bhféichiúnaithe amháin agus mar gheall ar amhábhair a ceannaíodh ar
cairde ar €3,000 agus a iontráladh ar an taobh mícheart de chuntas na
gcreidiúnaithe.
(v) Tá paitinní á ndíscríobh thar thréimhse 7 mbliana a thosaigh in 2021
(vi) San áireamh san fhigiúr do dhíol dramhábhar tá €7,000 a fuarthas ó sheanmheaisín
a dhíol ar an 31/03/2023. Chosain an meaisín sin €40,000 ar 30/09/2019.
 Tá gléasra agus innealra le dímheas ar ráta 15% dá gcostas in aghaidh na bliana
ríofa ón dáta ceannaigh go dtí an dáta díola.
(vii) Tá foirgnimh le dímheas ag 2% dá gcostas in aghaidh na bliana. (Bhí luach €100,000
ar an talamh ar a chostas ar 01/01/2023.)
Tá dímheas ar fhoirgnimh le roinnt 80% don mhonarcha agus an chuid eile do
speansais riarachán.
Socraíodh ar na foirgnimh a athluacháil ar €1,200,000 ar an 31/12/2023 agus tá an
athluacháil seo fós le léiriú sna cuntais.
(viii) Baineadh an figiúr don Bhanc sa chomhardú trialach as taifid an ghnólachta féin.
Léiríonn ráiteas bainc dar dáta 31/12/2023 rótharraingt de €600, áfach. Cuireadh
an cuntas bainc agus an ráiteas bainc i gcomparáid le chéile agus nochtadh na
míréitigh seo a leanas:
1. Íocadh go díreach isteach i gcuntas bainc an ghnólachta €6,000 a fuarthas as
cíos 4 mhí. Baineann sé sin le spás oifige a bhí le spáráil agus a lig Ó Seasnáin
Teo. amach ar cíos le déanaí ag tosú ar an 01/11/2023.
2. Níor seachadadh chun íoctha seic do €3,200 i gcomhair táillí a eisíodh chuig
creidiúnaí.
3. D’ob an banc seic €1,800 a fuarthas ó fhéichiúnaí. Níor taifeadadh é sin sna
leabhair.
(ix) Ba chóir soláthar a dhéanamh dóibh seo a leanas:
1. Ioncam infheistíochta dlite agus ús bintiúir dlite.
2. Soláthar in aghaidh drochfhiach a chruthú atá cothrom le 6% de na
féichiúnaithe.
3. €20,000 a aistriú ó bhrabús chuig an gcúlchiste caipitil.
Iarrtar ort:
(a) Cuntas déantúsaíochta, trádála, brabúis agus caillteanais a ullmhú don bhliain dar
 críoch 3","images/accounting/problem/ir_1b.png","","","images/accounting/answer/ir_1b_a_1.png","images/accounting/answer/ir_1b_a_2.png"
"(B) Cuntais Deiridh Cuideachta agus Cuntas Déantúsaíochta san áireamh
Tá caipiteal údaraithe de €1,500,000 ag Ó Seasnáin Teo. roinnte ina 1,100,000 gnáthscair ar
€1 an ceann agus 400,000 scair thosaíochta 4% ar €1 an ceann. Baineadh an comhardú
trialach seo a leanas as na leabhair ar 31/12/2023:
Tá an t-eolas agus na treoracha seo a leanas le cur san áireamh:
(i) Stoic ar láimh ar an 31/12/2023: Amhábhair €33,400
 Obair idir lámha €22,100
 Earraí críochnaithe €72,000
(ii) Le linn na bliana scrios dóiteán amhábhar a chosain €5,800. D’aontaigh an
chuideachta árachais 90% dá gcostas a íoc mar chúiteamh. Ní dhearnadh iontráil
ar bith sna leabhair.
(iii) Cuireadh earraí críochnaithe chuig custaiméir ar an 31/12/2023 ar bhonn ‘díol nó
aischur’. Taifeadadh na hearraí sin sna leabhair mar dhíolachán ar cairde €21,250.
Is ionann sin agus marcáil suas 25% ar chostas.
(iv) Tarlaíonn an figiúr fionraí mar gheall ar lascaine lamháilte €800 a iontráladh i
gcuntas na bhféichiúnaithe amháin agus mar gheall ar amhábhair a ceannaíodh ar
cairde ar €3,000 agus a iontráladh ar an taobh mícheart de chuntas na
gcreidiúnaithe.
(v) Tá paitinní á ndíscríobh thar thréimhse 7 mbliana a thosaigh in 2021
(vi) San áireamh san fhigiúr do dhíol dramhábhar tá €7,000 a fuarthas ó sheanmheaisín
a dhíol ar an 31/03/2023. Chosain an meaisín sin €40,000 ar 30/09/2019.
 Tá gléasra agus innealra le dímheas ar ráta 15% dá gcostas in aghaidh na bliana
ríofa ón dáta ceannaigh go dtí an dáta díola.
(vii) Tá foirgnimh le dímheas ag 2% dá gcostas in aghaidh na bliana. (Bhí luach €100,000
ar an talamh ar a chostas ar 01/01/2023.)
Tá dímheas ar fhoirgnimh le roinnt 80% don mhonarcha agus an chuid eile do
speansais riarachán.
Socraíodh ar na foirgnimh a athluacháil ar €1,200,000 ar an 31/12/2023 agus tá an
athluacháil seo fós le léiriú sna cuntais.
(viii) Baineadh an figiúr don Bhanc sa chomhardú trialach as taifid an ghnólachta féin.
Léiríonn ráiteas bainc dar dáta 31/12/2023 rótharraingt de €600, áfach. Cuireadh
an cuntas bainc agus an ráiteas bainc i gcomparáid le chéile agus nochtadh na
míréitigh seo a leanas:
1. Íocadh go díreach isteach i gcuntas bainc an ghnólachta €6,000 a fuarthas as
cíos 4 mhí. Baineann sé sin le spás oifige a bhí le spáráil agus a lig Ó Seasnáin
Teo. amach ar cíos le déanaí ag tosú ar an 01/11/2023.
2. Níor seachadadh chun íoctha seic do €3,200 i gcomhair táillí a eisíodh chuig
creidiúnaí.
3. D’ob an banc seic €1,800 a fuarthas ó fhéichiúnaí. Níor taifeadadh é sin sna
leabhair.
(ix) Ba chóir soláthar a dhéanamh dóibh seo a leanas:
1. Ioncam infheistíochta dlite agus ús bintiúir dlite.
2. Soláthar in aghaidh drochfhiach a chruthú atá cothrom le 6% de na
féichiúnaithe.
3. €20,000 a aistriú ó bhrabús chuig an gcúlchiste caipitil.
Iarrtar ort:
(b) Clár comhardaithe a ullmhú mar a bhí ar an 31/12/2023. ","images/accounting/problem/ir_1b.png","","","images/accounting/answer/ir_1b_b_1.png","images/accounting/answer/ir_1b_b_2.png"
"2. Cuntais Fhoilsithe
Tá scairchaipiteal údaraithe de €850,000 ag Ó Laighin cpt roinnte ina 650,000 gnáthscair ar €1
an ceann agus 200,000 scair thosaíochta 4% ar €1 an ceann. Baineadh an comhardú trialach seo
a leanas as na leabhair ar an 31/12/2023. 
Baineann an t-eolas seo a leanas le hábhar:
(i) Stoc ar an 31/12/2023, €85,000
(ii) Ceannaíodh an phaitinn ar an 01/01/2018 ar €75,000. Tá sí á hamúchadh thar 10
mbliana i dtráthchodanna cothroma. Tá an t-amúchadh le háireamh i gcostas na
ndíolachán.
(iii) Le linn na bliana, díoladh talamh le taobh áitreabh na cuideachta, a chosain €210,000,
ar €270,000. (Chosain an chuid eile den talamh €200,000.)
Bhí dímheas ar fhoirgnimh ar ráta 2% den chostas in aghaidh na bliana de réir méid
cothrom agus le dáileadh 25% do chostais dáileacháin agus 75% do speansais
riaracháin. Níor ceannaíodh ná níor díoladh foirgnimh ar bith le linn na bliana.
Ag deireadh na bliana, rinne an chuideachta a cuid talún agus foirgneamh a athluacháil
ar €950,000. Is mian leis an gcuideachta an luach sin a léiriú sna cuntais.
(iv) Déantar feithiclí a dhímheas ag ráta 20% dá gcostas in aghaidh na bliana de réir méid
cothrom.
(v) San áireamh sna costais dáileacháin tá fáltas €2,650 ar ríchíosanna paitinne.
(vi) Déan soláthar d’ús bintiúir dlite, ioncam infheistíochta dlite, táillí iniúchóra €8,500 agus
cáin chorparáide €87,000.
 Iarrtar ort:
 (a) An cuntas brabúis agus caillteanais foilsithe a ullmhú don bhliain dar críoch 31/12/2023 de
réir Acht na gCuideachtaí agus na gcaighdeán cuntasaíochta cuí, a thaispeánann na nótaí
seo a leanas:
1. Nóta ar bheartas cuntasaíochta faoi shócmhainní seasta inláimhsithe agus stoc
2. Brabús oibriúcháin
3. Díbhinní
4. Sócmhainní seasta inláimhsithe. ","images/accounting/problem/ir_2.png","","Nótaí leis na Cuntais
1 Nótaí ar Bheartas Cuntasaíochta [4]
 Sócmhainní Seasta Inláimhsithe
Rinneadh athluacháil ar fhoirgnimh ag deireadh 2023 agus tá siad curtha san
áireamh sna cuntais ag a méid athluachála.
Taispeántar feithiclí ag costas.
Ríomhtar an dímheas chun luach nó costas na sócmhainní seasta inláimhsithe a
dhíscríobh thar a saolré eacnamaíoch fhóinteach, mar a leanas:
 Foirgnimh 2% in aghaidh na bliana de réir méid chothroim
 Feithiclí 20% de chostas in aghaidh na bliana de réir méid chothroim
Déantar stoc a luacháil ar bhonn ‘is túisce isteach, is túisce amach’
ag an gcostas nó an glanluach inréadaithe, cibé acu is ísle.
2 Brabús Oibriúcháin [4]
 Tagtar ar an mbrabús oibriúcháin i ndiaidh an ghearrtha
 Dímheas ar shócmhainní seasta inláimhsithe 101,000
 Paitinn amúchta 7,500
 Luach saothair an stiúrthóra 35,000
 Táillí an iniúchóra 8,500
3 Díbhinní [2]
 Gnáthdhíbhinní
 Íocadh 5.8 cent in aghaidh na scaire 29,000
 Díbhinní Tosaíochta
 Íocadh 4.0 cent in aghaidh na scaire 6,000
4 Sócmhainní Seasta Inláimhsithe [7]","images/accounting/answer/ir_2a_1.png","images/accounting/answer/ir_2a_2.png"
"2. Cuntais Fhoilsithe
Tá scairchaipiteal údaraithe de €850,000 ag Ó Laighin cpt roinnte ina 650,000 gnáthscair ar €1
an ceann agus 200,000 scair thosaíochta 4% ar €1 an ceann. Baineadh an comhardú trialach seo
a leanas as na leabhair ar an 31/12/2023. 
Baineann an t-eolas seo a leanas le hábhar:
(i) Stoc ar an 31/12/2023, €85,000
(ii) Ceannaíodh an phaitinn ar an 01/01/2018 ar €75,000. Tá sí á hamúchadh thar 10
mbliana i dtráthchodanna cothroma. Tá an t-amúchadh le háireamh i gcostas na
ndíolachán.
(iii) Le linn na bliana, díoladh talamh le taobh áitreabh na cuideachta, a chosain €210,000,
ar €270,000. (Chosain an chuid eile den talamh €200,000.)
Bhí dímheas ar fhoirgnimh ar ráta 2% den chostas in aghaidh na bliana de réir méid
cothrom agus le dáileadh 25% do chostais dáileacháin agus 75% do speansais
riaracháin. Níor ceannaíodh ná níor díoladh foirgnimh ar bith le linn na bliana.
Ag deireadh na bliana, rinne an chuideachta a cuid talún agus foirgneamh a athluacháil
ar €950,000. Is mian leis an gcuideachta an luach sin a léiriú sna cuntais.
(iv) Déantar feithiclí a dhímheas ag ráta 20% dá gcostas in aghaidh na bliana de réir méid
cothrom.
(v) San áireamh sna costais dáileacháin tá fáltas €2,650 ar ríchíosanna paitinne.
(vi) Déan soláthar d’ús bintiúir dlite, ioncam infheistíochta dlite, táillí iniúchóra €8,500 agus
cáin chorparáide €87,000.
 Iarrtar ort:
 (b) (i) An téarma mír eisceachtúil a mhíniú agus tagairt agat do chuntais Uí Laighin cpt.
(ii) Cad iad na rialacháin nach mór de Chuntasóirí a chomhlíonadh nuair a bhíonn
ráiteas airgeadais a n-ullmhú acu lena bhfoilsiú? ","images/accounting/problem/ir_2.png","","(i) Is éard is mír ábhartha de mhéid suntasach ann ná mír eisceachtúil. Is brabús nó caillteanas
é agus ní mór é a thaispeáint ar leithligh sa chuntas brabúis agus caillteanais mar gheall ar
a mhéid. In Lyne Cpt is sampla de mhír eisceachtúil é an brabús ar dhíolachán talún de
€60,000.
(ii) Ní mór do chuntasóirí cloí leis na rialacháin seo a leanas:
An Rialtas – Reachtaíocht
An tAontas Eorpach – Treoracha
Boird na gCaighdeán Cuntasaíochta-FRS agus SSAPanna.
An Stocmhalartán-Rialaithe Liostaithe 
","",""
"Cuntais Feirme
Ar na sócmhainní agus na dliteanais atá ag E. Pléimeann a bhfuil gnó beag feirmeoireachta
measctha ar siúl aige, ar an 01/01/2023, tá:
talamh agus foirgnimh ar a gcostas €410,000; feithiclí agus innealra ar a gcostas €168,000;
leictreachas dlite €250; cógais réamhíoctha €330; luach eallaigh €88,000; luach caorach €35,600;
seic bainne dlite €6,900; stoc breosla €370; ús infheistíochta dhá mhí dlite €400.
Baineann dímheas carntha 3 bliana leis na sócmhainní seasta go léir ar an 01/01/2023.
Seo thíos achoimre a tógadh as an leabhair íocaíochtaí seic agus lóisteálacha don bhliain dar
críoch 31/12/2023: 
Tá an t-eolas agus na treoracha seo a leanas le cur san áireamh:
Eallach Caoirigh
(i) Ba é luach an bheostoic ar an 31/12/2023 ná: €94,000 €51,000
(ii) Táirgí feirme a d’úsáid Pléimeann le linn na bliana – bainne €550; uaineoil €770.
(iii) Cuimsítear sna táillí tréidliachta agus cógais seic d’árachas sláinte príobháideach de €1,700.
(iv) Tá speansais ghinearálta feirme, leasachán, táillí tréidliachta agus cógais le
cionroinnt 70% ar ‘eallach agus bainne’ agus 30% ar ‘caoirigh’.
(v) Tá na speansais agus na costais eile go léir le cionroinnt 90% ar an bhfeirm go ginearálta
agus 10% ar an teaghlach.
(vi) Tá dímheas le déanamh ar fheithiclí agus ar innealra ar ráta 10% dá gcostas in aghaidh
na bliana agus ar fhoirgnimh ar ráta 2% dá gcostas in aghaidh na bliana. (€200,000 a
bhí ar an talamh ar a chostas.)
(vii) Ar an 31/12/2023 bhí seic bainne €6,950 dlite, bhí €750 dlite do chreidiúnaithe ar
leasachán agus b’fhiú €450 an stoc breosla.
Iarrtar ort:
(a) Ráiteas caipitil Phléimeann ar 01/01/2023 a ullmhú","images/accounting/problem/ir_3.png","","","images/accounting/answer/ir_3a.png",""
"Cuntais Feirme
Ar na sócmhainní agus na dliteanais atá ag E. Pléimeann a bhfuil gnó beag feirmeoireachta
measctha ar siúl aige, ar an 01/01/2023, tá:
talamh agus foirgnimh ar a gcostas €410,000; feithiclí agus innealra ar a gcostas €168,000;
leictreachas dlite €250; cógais réamhíoctha €330; luach eallaigh €88,000; luach caorach €35,600;
seic bainne dlite €6,900; stoc breosla €370; ús infheistíochta dhá mhí dlite €400.
Baineann dímheas carntha 3 bliana leis na sócmhainní seasta go léir ar an 01/01/2023.
Seo thíos achoimre a tógadh as an leabhair íocaíochtaí seic agus lóisteálacha don bhliain dar
críoch 31/12/2023: 
Tá an t-eolas agus na treoracha seo a leanas le cur san áireamh:
Eallach Caoirigh
(i) Ba é luach an bheostoic ar an 31/12/2023 ná: €94,000 €51,000
(ii) Táirgí feirme a d’úsáid Pléimeann le linn na bliana – bainne €550; uaineoil €770.
(iii) Cuimsítear sna táillí tréidliachta agus cógais seic d’árachas sláinte príobháideach de €1,700.
(iv) Tá speansais ghinearálta feirme, leasachán, táillí tréidliachta agus cógais le
cionroinnt 70% ar ‘eallach agus bainne’ agus 30% ar ‘caoirigh’.
(v) Tá na speansais agus na costais eile go léir le cionroinnt 90% ar an bhfeirm go ginearálta
agus 10% ar an teaghlach.
(vi) Tá dímheas le déanamh ar fheithiclí agus ar innealra ar ráta 10% dá gcostas in aghaidh
na bliana agus ar fhoirgnimh ar ráta 2% dá gcostas in aghaidh na bliana. (€200,000 a
bhí ar an talamh ar a chostas.)
(vii) Ar an 31/12/2023 bhí seic bainne €6,950 dlite, bhí €750 dlite do chreidiúnaithe ar
leasachán agus b’fhiú €450 an stoc breosla.
Iarrtar ort:
(b) Cuntas anailíse fiontair do ‘eallach agus bainne’ agus ‘caoirigh’ don bhliain dar críoch
31/12/2023 a ullmhú.","images/accounting/problem/ir_3.png","","","images/accounting/answer/ir_3b_1.png","images/accounting/answer/ir_3b_2.png"
"Cuntais Feirme
Ar na sócmhainní agus na dliteanais atá ag E. Pléimeann a bhfuil gnó beag feirmeoireachta
measctha ar siúl aige, ar an 01/01/2023, tá:
talamh agus foirgnimh ar a gcostas €410,000; feithiclí agus innealra ar a gcostas €168,000;
leictreachas dlite €250; cógais réamhíoctha €330; luach eallaigh €88,000; luach caorach €35,600;
seic bainne dlite €6,900; stoc breosla €370; ús infheistíochta dhá mhí dlite €400.
Baineann dímheas carntha 3 bliana leis na sócmhainní seasta go léir ar an 01/01/2023.
Seo thíos achoimre a tógadh as an leabhair íocaíochtaí seic agus lóisteálacha don bhliain dar
críoch 31/12/2023: 
Tá an t-eolas agus na treoracha seo a leanas le cur san áireamh:
Eallach Caoirigh
(i) Ba é luach an bheostoic ar an 31/12/2023 ná: €94,000 €51,000
(ii) Táirgí feirme a d’úsáid Pléimeann le linn na bliana – bainne €550; uaineoil €770.
(iii) Cuimsítear sna táillí tréidliachta agus cógais seic d’árachas sláinte príobháideach de €1,700.
(iv) Tá speansais ghinearálta feirme, leasachán, táillí tréidliachta agus cógais le
cionroinnt 70% ar ‘eallach agus bainne’ agus 30% ar ‘caoirigh’.
(v) Tá na speansais agus na costais eile go léir le cionroinnt 90% ar an bhfeirm go ginearálta
agus 10% ar an teaghlach.
(vi) Tá dímheas le déanamh ar fheithiclí agus ar innealra ar ráta 10% dá gcostas in aghaidh
na bliana agus ar fhoirgnimh ar ráta 2% dá gcostas in aghaidh na bliana. (€200,000 a
bhí ar an talamh ar a chostas.)
(vii) Ar an 31/12/2023 bhí seic bainne €6,950 dlite, bhí €750 dlite do chreidiúnaithe ar
leasachán agus b’fhiú €450 an stoc breosla.
Iarrtar ort:
(c) Cuntas ginearálta brabúis agus caillteanais Phléimeann don bhliain dar críoch 31/12/2023
a ullmhú. ","images/accounting/problem/ir_3.png","","","images/accounting/answer/ir_3c.png",""
"Cuntais Feirme
Ar na sócmhainní agus na dliteanais atá ag E. Pléimeann a bhfuil gnó beag feirmeoireachta
measctha ar siúl aige, ar an 01/01/2023, tá:
talamh agus foirgnimh ar a gcostas €410,000; feithiclí agus innealra ar a gcostas €168,000;
leictreachas dlite €250; cógais réamhíoctha €330; luach eallaigh €88,000; luach caorach €35,600;
seic bainne dlite €6,900; stoc breosla €370; ús infheistíochta dhá mhí dlite €400.
Baineann dímheas carntha 3 bliana leis na sócmhainní seasta go léir ar an 01/01/2023.
Seo thíos achoimre a tógadh as an leabhair íocaíochtaí seic agus lóisteálacha don bhliain dar
críoch 31/12/2023: 
Tá an t-eolas agus na treoracha seo a leanas le cur san áireamh:
Eallach Caoirigh
(i) Ba é luach an bheostoic ar an 31/12/2023 ná: €94,000 €51,000
(ii) Táirgí feirme a d’úsáid Pléimeann le linn na bliana – bainne €550; uaineoil €770.
(iii) Cuimsítear sna táillí tréidliachta agus cógais seic d’árachas sláinte príobháideach de €1,700.
(iv) Tá speansais ghinearálta feirme, leasachán, táillí tréidliachta agus cógais le
cionroinnt 70% ar ‘eallach agus bainne’ agus 30% ar ‘caoirigh’.
(v) Tá na speansais agus na costais eile go léir le cionroinnt 90% ar an bhfeirm go ginearálta
agus 10% ar an teaghlach.
(vi) Tá dímheas le déanamh ar fheithiclí agus ar innealra ar ráta 10% dá gcostas in aghaidh
na bliana agus ar fhoirgnimh ar ráta 2% dá gcostas in aghaidh na bliana. (€200,000 a
bhí ar an talamh ar a chostas.)
(vii) Ar an 31/12/2023 bhí seic bainne €6,950 dlite, bhí €750 dlite do chreidiúnaithe ar
leasachán agus b’fhiú €450 an stoc breosla.
Iarrtar ort:
(d) Tá Pléimeann ag smaoineamh ar uasghrádú a dhéanamh ar an bhfeirm
agus grianphainéil a shuiteáil ar chostas €100,000 (glanchostas tar éis
deontas). Tá measta aige go ndéanfadh sé sin laghdú 40% ar chostais fuinnimh.
D’iarr Pléimeann ort comhairle a chur air maidir leis na himpleachtaí airgeadais a
bhainfeadh le grianphainéil a shuiteáil. Bunaithe ar na cuntais atá ullmhaithe agat,
cén chomhairle a chuirfeá air? ","images/accounting/problem/ir_3.png","","Mholfainn do Fleming na Painéil Gréine a shuiteáil
Dhéanfaí laghdú €16,747/€18,608 in aghaidh na bliana ar an mbille solais agus teasa.
Mar thoradh air sin, mhéadódh an brabús agus ghnóthódh an gnólacht infheistíocht de
€100,000 in thart ar 6 bliana.
Tá neart airgid ag an ngnólacht feirme chun an €100,000 a mhaoiniú mar go bhfuil €32,605 sa
bhanc agus €120,000 in infheistíochtaí aige agus tá sé díreach i ndiaidh €30,000 a aisíoc.","images/accounting/answer/ir_3d.png",""
