problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
"Tá Meenagrauv le Ann Quinn léirithe ar an mbileog a ghabhann leis seo
Déan cur síos ar an bpictiúr seo faoi na ceannteidil seo a leanas: comhdhéanamh, peirspictíocht, dath.","Cur síos ar an bpictiúr ag baint úsáide as na ceannteidil a thugtar: comhdhéanamh, peirspictíocht, dath.
Íseal: 0-2, Measartha: 3-4, Ard: 5-6.",Screenshot 2025-04-30 at 17.46.26.png,,,
"Tá Meenagrauv le Ann Quinn léirithe ar an mbileog a ghabhann leis seo
Cad faoi a bhfuil an pictiúr seo, dar leat? Tabhair fáthanna le do fhreagra.","Léiriú réasúnta ar a bhfuil i gceist leis an bpictiúr, nó moladh faoi.
Na cúiseanna a tugadh sa fhreagra.
Íseal: 0-1, Measartha: 2-3, Ard: 4",Screenshot 2025-04-30 at 17.46.26.png,,,
"Tá Rosmoney le Sinead Wall léirithe ar an mbileog a ghabhann leis seo.
Conas atá braistint doimhneachta cruthaithe ag an ealaíontóir sa phrionta seo?","Conas a chruthaigh an t-ealaíontóir doimhneacht sa chló a léirítear.
Íseal: 0-2, Measartha: 3-4, Ard: 5-6",Screenshot 2025-04-30 at 17.46.58.png,,,
"Tá Rosmoney le Sinead Wall léirithe ar an mbileog a ghabhann leis seo.
Ciallaíonn eagrán go bhfuil níos mó ná prionta amháin cruthaithe ag an ealaíontóir.
Cad iad na buntáistí a bhaineann le heagrán a chruthú?
Cosain do fhreagra.","Plé ar na buntáistí a bhaineann le heagrán a chruthú.
Firinniú leis an bhfreagra a tugadh.
Íseal: 0-1, Measartha: 2-3, Ard: 4",Screenshot 2025-04-30 at 17.46.58.png,,,
"Ainmnigh dealbhóir comhaimseartha atá beo, a bhfuil staidéar déanta agat air/uirthi, agus agus freagair na ceisteanna a leanas.
Ainm an dealbhóra:
Tabhair cuntas ar shaothar an dealbhóra faoi na ceannteidil seo: téamaí, meáin, scála.","Cuntas ar shaothar dealbhóir beo comhaimseartha ag baint úsáide as na ceannteidil tugtha: téamaí, meáin, scála.
Íseal: 0-2, Measartha: 3-4, Ard: 5-6",,,,
"Ainmnigh dealbhóir comhaimseartha atá beo, a bhfuil staidéar déanta agat air/uirthi, agus agus freagair na ceisteanna a leanas.
Ainm an dealbhóra:
An bhfuil rath ar ghairm bheatha an dealbhóra seo, dar leat? Cosain do fhreagra.","Tuairim faoi rath ar ghairm ealaíontóra.
Firinniú leis an bhfreagra a tugadh.
Íseal: 0-1, Measartha: 2-3, Ard: 4",,,,
"Tá saothar ealaíne teicstíle dar teideal *Arran Noaide* le Mette Roche léirithe ar an mbileog a ghabhann leis seo.
Déan cur síos ar an saothar ealaíne seo faoi na ceannteidil a leanas: úsáid na mbunábhar, dath, líne.","Cur síos ar an saothar ealaíne agus freagra a spreag an saothar ealaíne.
Tá úsáid á mbunábhar, dath, líne tugtha agat: úsáid na mbunábhar, dath, líne.
Íseal 0-2; Measartha 3-4; Ard 5-6",Screenshot 2025-04-30 at 17.50.02.png,,,
"Tá saothar ealaíne teicstíle dar teideal *Arran Noaide* le Mette Roche léirithe ar an mbileog a ghabhann leis seo.
Cad iad na saghsanna íomháanna a spreag an saothar ealaíne seo, dar leat?
Tabhair fáthanna le do fhreagra agus fianaise á húsáid agat ón léaráid a taispeántar.","Tuairim ar an gcineál íomháineachais a spreag an saothar ealaíne.
Na cúiseanna leis an bhfreagra a tugadh ag baint úsáide as fianaise ón léiriú a taispeántar.
Íseal 0-1; Measartha 2-3; Ard 4",Screenshot 2025-04-30 at 17.50.02.png,,,
Cén fáth a bhfuil ról an choimeádaí i ngailearaí poiblí chomh tábhachtach sin?,"Plé ar an bhfáth a bhfuil ról an choimeádaí i ngailearaí poiblí tábhachtach.
Íseal 0-1; Measartha 2-3; Ard 4-5",,,,
Cad a fhágann go mbíonn tóir ag an bpobal i gcoitinne ar thaispeántas amharcealaíne? Tabhair míniú ar do fhreagra.,"Plé ar cad a dhéanann móréileamh ar thaispeántas amharcealaíne i measc an phobail i gcoitinne.
Míniú ar an bhfreagra a tugadh.
Íseal 0-1; Measartha 2-3; Ard 4-5",,,,
"Tá an múrphictiúr *Echoes* le Add Fuel léirithe ar an mbileog a ghabhann leis seo.
Déan cur síos ar an saothar ealaíne seo faoi na ceannteidil a leanas: comhdhéanamh, móitíf, dath.","Cur síos ar an saothar ealaíne agus freagra a spreag an saothar ealaíne.
Tá úsáid agat: comhdhéanamh, móitíf, dath.
Íseal 0-2; Measartha 3-4; Ard 5-6",Screenshot 2025-04-30 at 17.50.36.png,,,
"Tá an múrphictiúr *Echoes* le Add Fuel léirithe ar an mbileog a ghabhann leis seo.
An oireann cur ar ealaíne seo don suíomh ina bhfuil sé? Cosain do fhreagra.","Déan plé ar cé acu an oireann an saothar ealaíne dá shuíomh.
Fírinniú leis an bhfreagra a tugadh.
Íseal 0-1; Measartha 2-3; Ard 4",Screenshot 2025-04-30 at 17.50.36.png,,,
"Tá póstaer ó fhéachtas fógraíochta cloíte, don déantóir peann luaidhe Faber-Castell, léirithe ar an mbileog a ghabhann leis seo.
Déan cur síos ar dhearadh an phóstaeir faoi na ceannteidil a leanas: leagan amach, solas, codarsnacht.","Cur síos ar dhearadh an phóstaeir agus freagra a spreag an saothar ealaíne.
Tá úsáid agat: leagan amach, solas, codarsnacht.
Íseal 0-2; Measartha 3-4; Ard 5-6",Screenshot 2025-04-30 at 17.51.44.png,,,
"Tá póstaer ó fhéachtas fógraíochta cloíte, don déantóir peann luaidhe Faber-Castell, léirithe ar an mbileog a ghabhann leis seo.
Cad atá á hiomháinn ag cur in iúl faoin táirge? Cosain do fhreagra.","Plé ar a bhfuil á chur in iúl ag na hiomhanna faoin táirge.
Fírinniú leis an bhfreagra a tugadh.
Íseal 0-1; Measartha 2-3; Ard 4",Screenshot 2025-04-30 at 17.51.44.png,,,
"Rianaigh bunús agus éabhlóid na nArdeaglaisí Gotacha.  
- Déan tagairt i do fhreagra do shamplaí ainmnithe. 
- Bíodh plé ar an gcomhthéacs, ar an nuálaíocht agus ar an aireag, ar na réimsí cleachtais, ar ghnéithe ealaíne agus ar phrionsabail dearaidh san áireamh agat. ","- Comhleanúnachas agus Béim ar Ábhar
- Eolas ar an Ábhar
- Samplaí Ábhartha
- Teanga Amhairc (téarmaíocht agus/nó sceitsí)",,,,
"Cén tionchar a bhí ag an staidéar ar an bpeirspictíocht ar ealaín na tréimhse sin?  
- Déan tagairt i do fhreagra d’ealaíontóirí ainmnithe agus dá gcuid saothar.  
- Bíodh plé ar an gcomhthéacs, ar an nuálaíocht agus ar an aireag, ar ghnéithe ealaíne agus ar phrionsabail dearaidh, ar na meáin agus ar na réimsí cleachtais san áireamh agat. ","- Comhleanúnachas agus Béim ar Ábhar
- Eolas ar an Ábhar
- Samplaí Ábhartha
- Teanga Amhairc (téarmaíocht agus/nó sceitsí)",,,,
"Pléigh an tionchar a bhí ag pátrúnacht ar fud na hEorpa ar an ealaín sa tréimhse seo. 
- Déan tagairt i do fhreagra d’ealaíontóirí ainmnithe agus dá gcuid saothar.
- Bíodh plé ar an gcomhthéacs, ar an ábhar, ar ghnéithe ealaíne agus ar phrionsabail dearaidh, ar na meáin agus ar na réimsí cleachtais san áireamh agat.","- Comhleanúnachas agus Béim ar Ábhar
- Eolas ar an Ábhar
- Samplaí Ábhartha
- Teanga Amhairc (téarmaíocht agus/nó sceitsí)",,,,
