problem,answer
"Ni mór an roinn seo a fhreagairt. Freagair ocht gceist. Tá 10 marc ag gabháil le gach ceist.
Is liosta de théarmaí gnó atá i gColún 1.
Is liosta de mhíniúcháin a d'fhéadfadh a bheith ar na téarmaí sin atá i gColún 2 (Tá míniúcháin amháin ann nach dtagraíonn d'aon cheann de na téarmaí sin.)
Déan an dá liosta a mheaitseáil. Cuir litir a bhaineann leis an míniúchán ceart faoin uimhir ábhartha thíos.
","1: B
2: D
3: F
4: A
5: E"
"I gcomhthéacs gnó, céard éard a seasann na litreacha thíos? (Tá na litreacha Béarla tugtha idir lúibíní.). Scríobh gach freagra sa spás atá ann dó.
GFT (IDA)
POF (CEO)
BCE (ECB)
OCC (CRO)
EDT (WTO)","GFT (IDA): Gníomhaireacht Forbartha Tionsclaíche
POF (CEO): Príomhoifigeach Feidhmiúcháin
BCE (ECB): Banc Ceannais na hEorpa
OCC (CRO): An Oifig um Chlárú Cuideachtaí
EDT (WTO): An Eagraíocht Dhomhanda Trádála"
Mínigh an téarma Forbairt Pobail.,Tagraíonn forbairt pobail d'fhorbairt ceantar áitiúil agus pobail áitiúil go sóisialta agus go heacnamaíoch trí iarrachtaí ar saoránach agus na gcónaitheoirí áitiúla. Tá an fhorbairt bunaithe go háitiúil agus baineann sé le féincheapadh seachas ónaith ag breath an tairgte nó ar gnó a bhreath seachtracha chun cuidiú le forsaírt forbairt pobail do rogha féin.
Tabhair breac-chuntas ar sheirbhís amháin a sholáthraíonn eagraíocht forbartha pobail do rogha féin.,"Deontais: Cuireann eagraíochtaí forbairtha pobail amháil LEADER maoiniú ar fáil chun cuidiú le tionscnaimh phobail. M.SH. Feirmeoir tuaithe a fhaigheann maoiniú chun gnó déanta subh a chur ar bun.

Comhairle: Faigheann grúpaí pobail comhairle ó eagraíochtaí forbairt pobail amháil na cláir LEADER/Ceannáire, APCanna, pobal srl maidir le conas a smaoineamh a fhorbairt.

Giac le pointí ábhartha ar: Ceardlanna giliúna, Meantóireacht/Comhairleoireacht, Áitreabh srl."
"Cuir ciorcal thart ar an rogha ceart i gcás gach ceann de na ráitis seo a leanas.
(i) Cuirtear síos ar an difríocht idir an sprioc-aschur in aonaid agus an pointe meá ar mhéid in aonaid mar ioncam iomlán / lamháil sábháilteachta.",lamháil sábháilteachta
Cuirtear / ní chuirtear barainneacht scála san áireamh ar chostais mheá ar mhéid.,ní chuirtear
"Ar cháirt mheá ar mhéid, fanann costais sheasta / costais iomlána mar an gcéanna beag beann ar aon mhéadú ar aschur na n-aonad.",costais iomlána
Iolraítear an t-aschur tuartha in aonaid faoin gcostas athraitheach in aghaidh an aonaid / bpraghas díola in aghaidh an aonaid chun t-ioncam iomlán ar cháirt mheá ar mhéid a ríomh.,gcostas athraitheach in aghaidh an aonaid
Tuilleann táirge brabús / caillteanas sula sroicheann sé an pointe meá ar mhéid ar an gcáirt mheá ar mhéid.,caillteanas
Tabhair breac-chuntas ar dhá fheidhm atá ag Parlaimint na hEorpa.,"* Pléann sí dlíthe nua atá beartaithe agus déanann sí díospóireacht orthu:
Faigheann Parlaimint na hEorpa moltaí ón reachtaíocht nua ón gCoimisiún Eorpach. Déanann Parlaimint AE an reachtaíocht atá beartaithe a phlé, a athbhreithniú agus déanann sí díospóireacht uirthi agus féadfaidh sí leasuithe a iarraidh ar an dréacht-reachtaíocht. Tugann sí aiseolas do choimisiún an Aontais Eorpaigh maidir le leasuithe ar na dlíthe nua.

* Faomhann sí buiséad bliantúil an Aontais agus déanann sí monatóireacht ar an gcaiteachas:
Formheasanann Parlaimint na hEorpa buiséad an Aontais agus déanann sí monatóireacht ar chaiteachas chisti an Aontais ag gach tir agus institiúd.
- Déanann sí grinniúchán ar chomhaltaí an Choimisiúin Eorpaigh
- Cumhachtaí maoirseachta"
Déan idirdhealú idir Trádbhac agus Cuóta.,"Trádbhac:
Is cosc iomlán é sin ar allmhairiú earraí ó thír ar leith amháin. Is minic a dhéantar é ar chúiseanna polaitiúla. Sampla: chuir rialtas Mheiriceá i bhfeidhm ar allmhairiú maoirteola na Ríochta Aontaithe mar gheall ar na leibhéil arda BSE sa Ríocht Aontaithe.
Cuóta:
Is socrú é a nnn teorainneacha a fhorchuirtear ar allmhairiú earraí agus seirbhísí. Úsáidtear cuótaí mar bhacanna tradála chun teorainn a chur le méid earraí áirithe táirge agus/nó leis an méid earraí ó thír áirithe is féidir a allmhairiú.
Sampla: D'fhorchúir ar Ríocht Aontaithe cuótaí ar allmhairiú éanlath clóis, trucha.

Cuóta a fhorchur ar Stáit Aontaithe Mheiriceá ar mhairteoil is féidir a allmhairiú ó Cheanada.

Cuóta a fhorchur ag an Aontas Eorpach ar na tairgí maoirteola agus uaineola is féidir a allmhairiú ó lasmuigh den Aontas Eorpach."
Scríobh Fíor nó Bréagach in aice le gach ceann de na ráitis seo a leanas.,"1. Fíor
2. Bréagach
3. Bréagach
4. Bréagach
5. Fíor"
Déan idirdhealú idir dhá chineál rialaithe bainistíochta a úsáidtear go coitianta i gcúrsaí gnó.,"Rialú Cáilíochta:
A chinntiú go gcomhlíontar na caighdeáin táirge agus seirbhíse a mbíonn custaiméirí ag súil leo i gceart. Is éard atá i gceist le rialú cáilíochta na caighdeáin na n-earraí agus na seirbhísí a thomhas go rialta.

Rialú creidmheasa:
Monatóireacht a dhéanamh ar na custaiméirí a dtabharfar creidmheas dóibh, cé chomh fada agus a dtabharfar dóibh é agus a chinntiú go n-íocfaidh siad é in am. Is éard atá i gceist le rialú creidmheasa na acmhainneachta creidmheasa na sheiceálaithe agus bearta chun íocaíochtaí pras a chinntiú a chur i bhfeidhm.

Rialú Stoic:
Cinntear go bhfuil an méid agus an cineál/taghas ceart earraí i stoc ag gnólachtaí ag an am ceart, gan costais stocshealúchais a thabhú. Méadaíonn rialú stoc sástacht na dtomhaltóirí agus laghdaíonn sé costais.

Costas Airgeadais:
Is éard atá i gceist le rialú airgeadais na feidhmiúchta airgeadais an ghnólachta a thomhas agus a geoinne réamhaisnéisí sreabhadh airgid a bhuiséad."
"Bhí teach arbh fhiú €300,000 ag Oilibhéar Ó Cadhla. Chuir sé an teach faoi árachas ar luach €250,000. Rinne pléasctha san áiléar damáiste ar luach €60,000 don teach.
(i) Ríomh an méid cúitimh a íocfaidh an chuideachta árachais le hOilibhéar. Taispeáin do chuid oibre.","$\frac{250,000}{300,000} \times \frac{60,000}{1} = €50,000$"
