problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
Ainmnigh an píosa fearais a úsáideadh chun an chuid 10.0 $cm^3$ den fhínéagar bunaidh a thomhas go cruinn.",pípeád / buiréad [glac le sorcóir grádóite / steallaire],,,,
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
Déan cur síos ar an mbealach a sruthlaíodh an píosa fearais seo sular úsáideadh é.","le huisce dí-ianaithe
le fínéagar",,,,
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
Déan cur síos ar mhodh oiriúnach chun an chuid 10.0 $cm^3$ den fhínéagar bunaidh a chaolú go dtí 50.0 $cm^3$ go cruinn.",cuir (10.0$cm^3$) den fhínéagar (bunaidh) sa fleascán toirtmhéadrach (50 $cm^3$) go dtí an marc le huisce dí-ianaithe / (cuir uisce) chun bun an mheiniscis ar an marc,,,,
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
Ríomh toirt an fhínéagar neamhchaolaithe a bheadh a theastáil chun 25.0 $cm^3$ den tuaslagán 0.09 M de NaOH a neodrú.","tagairt d’fhachtóir de chuid 5 [luaite/intuigthe]
$12.4 \div 5 = 2.48$ ($cm^3$) [glac le 2.5 ($cm^3$)]",,,,
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
Tabhair breac-chuntas ar an bhfuntáise a bhaineann leis an bhfínéagar a chaolú sula gcuirtear toirtmheasadh i gcrích.",earráid (%) níos lú / (toirt) níos cruinne / (tiúchan) níos lú NaOH,,,,
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
Ainmnigh táscaire oiriúnach chun toirtmheasadh seo.",feanólftailéin,,,,
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
luathán t-athrú datha a bhreathnaítear ag an gcríochphointe.",bándearg [nó glac le corcra] go héadathach [ná glac le trédhearcach ]  [bronn 3 mharc má mhalartaítear an dá dhath chearta],,,,
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
Ríomh líon na móil de hiodrocsaíd sóidiam i ngach cuid 25.0 $cm^3$.",$\frac{25.0}{1000} \times 0.09 = 0.00225 (mól)$,,,,
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
Ríomh líon na móil d'aidéad eatánóch i ngach $cm^3$ den fhínéagar caolaithe.",$\frac{0.00225 \div 12.4 = 0.00018 (mól)}{}$,,,,
"Rinne scoláire turgnamh i dtosach ag aidéid eatánóch i bhfínéagar ar aimsiú. Caoileadh cuid 10.0 $cm^3$ den fhínéagar i dtosach go dtí díreach 50.0 $cm^3$. Toirtmheasadh an tuaslagán den fhínéagar caolaithe le tuaslagán 0.09 M hiodrocsaíde sóidiam i bhfleascán cónúil. Ar an meán, bhí 12.4 $cm^3$ den fhínéagar caolaithe ag teastáil chun 25.0 $cm^3$ den tuaslagán NaOH a neodrú.
Déantar cur síos ar imoibriú an toirtmheasctha seo chomh maith le cothromóid chothromaíochta cheimiceach seo:
$CH_3COOH + NaOH \rightarrow CH_3COONa + H_2O$
Ríomh tiúchan an aigéid eatánóigh san fhínéagar bunaidh ina móil in aghaidh an lítir.","$\frac{0.00018 \times 5 \times 1000}{}$
$= 0.91 (M)$",,,,
