problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
"Rinne scoláire turgnamh saotharlainne chun fiosrú dheańamh ar an gcoibhneas idir luasghéarú a coirp agus an fórsa $F$ a fheidhmítear air. Le linn an fhiosraithe, thaifead an scoláire luachanna don fhórsa agus thomhais sé an luasghéarú a bhain leo.
Taifeadadh na sonraí seo a leanas.

| F (N)   | 0.2   | 0.3   | 0.4   | 0.5   | 0.6   | 0.7   |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- |
| a (m s$^{-2}$) | 0.280 | 0.422 | 0.554 | 0.702 | 0.837 | 0.982 |

Tarraing graf oiriúnach a thaispeánann an coibhneas idir $F$ agus $a$.","aiseanna lipéadaithe [3]
pointí breactha [3]
an líne is fearr oiriúint [3]",,,,
"Rinne scoláire turgnamh saotharlainne chun fiosrú dheańamh ar an gcoibhneas idir luasghéarú a coirp agus an fórsa $F$ a fheidhmítear air. Le linn an fhiosraithe, thaifead an scoláire luachanna don fhórsa agus thomhais sé an luasghéarú a bhain leo.
Taifeadadh na sonraí seo a leanas.

| F (N)   | 0.2   | 0.3   | 0.4   | 0.5   | 0.6   | 0.7   |
| ------- | ----- | ----- | ----- | ----- | ----- | ----- |
| a (m s$^{-2}$) | 0.280 | 0.422 | 0.554 | 0.702 | 0.837 | 0.982 |

Úsáid do ghraf chun ríomh a dhéanamh ar an mais a luasghéaraíodh.","foirmlle fána [3]
$m$ = 0.71 kg [2]",,,,
"I dturgnamh chun fad fócasach $f$ ag lionsa inréimneach a thomhas, fuair scoláire garluach ar an bhfad fócasach ar dtús. Lean an scoláire ar aghaidh amach ansin agus thaifead sí an fad go dtí an íomhá $v$ le haghaidh luachanna difriúla den fhad go dtí an thríthe $u$.
Taifeadadh na sonraí seo a leanas.

| u (cm) | 20.0  | 30.0  | 40.0  | 50.0  |
| ------ | ----- | ----- | ----- | ----- |
| v (cm) | 78.7  | 35.2  | 26.9  | 23.4  |

Déan cur síos ar an tslí a bhfuair an mac léinn garluach ar an bhfad fócasach.","an íomhá a fhócasú de read i bhfad ar scáileán [3]
an fad idir an scáileán agus an lionsa a thomhas [3]",,,,
"I dturgnamh chun fad fócasach $f$ ag lionsa inréimneach a thomhas, fuair scoláire garluach ar an bhfad fócasach ar dtús. Lean an scoláire ar aghaidh amach ansin agus thaifead sí an fad go dtí an íomhá $v$ le haghaidh luachanna difriúla den fhad go dtí an thríthe $u$.
Taifeadadh na sonraí seo a leanas.

| u (cm) | 20.0  | 30.0  | 40.0  | 50.0  |
| ------ | ----- | ----- | ----- | ----- |
| v (cm) | 78.7  | 35.2  | 26.9  | 23.4  |

Agus tagairt á déanamh agat do do léaráid, déan cur síos ar conas a aimsíodh agus a tomhaiseadh na luachanna ar $v$.","an fhríthe/lionsa/scáileán a bhogadh [3]
go dtí go gcaitear íomhá ghéar [3]
$v$ a thomhas le méadarslat [3]",,,,
"I dturgnamh chun fad fócasach $f$ ag lionsa inréimneach a thomhas, fuair scoláire garluach ar an bhfad fócasach ar dtús. Lean an scoláire ar aghaidh amach ansin agus thaifead sí an fad go dtí an íomhá $v$ le haghaidh luachanna difriúla den fhad go dtí an thríthe $u$.
Taifeadadh na sonraí seo a leanas.

| u (cm) | 20.0  | 30.0  | 40.0  | 50.0  |
| ------ | ----- | ----- | ----- | ----- |
| v (cm) | 78.7  | 35.2  | 26.9  | 23.4  |

Ríomh fad fócasach an lionsa agus na sonraí go léir sa tábla á n-úsáid agat.
$\frac{1}{u} + \frac{1}{v} = \frac{1}{f}$","an 1$^{\text{ríomh}}$ eile ar $f$ [3]
trí ríomh eile ar $f$ [3]
meán na ríomhanna ar $f$ [3]",,,,
"I dturgnamh chun fad fócasach $f$ ag lionsa inréimneach a thomhas, fuair scoláire garluach ar an bhfad fócasach ar dtús. Lean an scoláire ar aghaidh amach ansin agus thaifead sí an fad go dtí an íomhá $v$ le haghaidh luachanna difriúla den fhad go dtí an thríthe $u$.
Taifeadadh na sonraí seo a leanas.

| u (cm) | 20.0  | 30.0  | 40.0  | 50.0  |
| ------ | ----- | ----- | ----- | ----- |
| v (cm) | 78.7  | 35.2  | 26.9  | 23.4  |

Chomh maith leis an scoláire turgnamh chun fad fócasach scátháin chuasaigh a thomhas freisin.
Cén áit ar mblonn leagan amach éagsúil ar an ngaireas sa turgnamh seo?",frithchaitheamh solais [4],,,,
"Rinne mac léinn turgnamh chun sainteas folach leáite oighir a thomhas.

| Mais an chalraiméadair copair:  | sular cuireadh isteach an t-oighear | 83.2 g   |
| ------------------------------- | ----------------------------------- | -------- |
| Mais an chalraiméadair + uisce  | tar éis an t-oighear a chur isteach  | 132.9 g  |
| Teocht an uisce                 | sular cuireadh isteach an t-oighear | 138.5 g  |
|                                 | tar éis an t-oighear a chur isteach  | 26.8 °C |
|                                 | tar éis an t-oighear a chur isteach  | 17.4 °C |

Luaigh dhá chéim a lean an scoláire chun an t-oighear a thógadh ón reoiteoir a ullmhú.","an t-oighear a bhrú [3]
an t-oighear a thriomú [3]",,,,
"Rinne mac léinn turgnamh chun sainteas folach leáite oighir a thomhas.

| Mais an chalraiméadair copair:  | sular cuireadh isteach an t-oighear | 83.2 g   |
| ------------------------------- | ----------------------------------- | -------- |
| Mais an chalraiméadair + uisce  | tar éis an t-oighear a chur isteach  | 132.9 g  |
| Teocht an uisce                 | sular cuireadh isteach an t-oighear | 138.5 g  |
|                                 | tar éis an t-oighear a chur isteach  | 26.8 °C |
|                                 | tar éis an t-oighear a chur isteach  | 17.4 °C |

Déan cur síos ar thábhacht gach céime.","an t-oighear a bhrú: a chinntiú go raibh sé ag 0 °C / leáfadh sé níos tapúla [3]
an t-oighear a thriomú: nior cuireadh aon uisce breise leis / níor cuireadh ach oighear leis [3]",,,,
"Rinne mac léinn turgnamh chun sainteas folach leáite oighir a thomhas.

| Mais an chalraiméadair copair:  | sular cuireadh isteach an t-oighear | 83.2 g   |
| ------------------------------- | ----------------------------------- | -------- |
| Mais an chalraiméadair + uisce  | tar éis an t-oighear a chur isteach  | 132.9 g  |
| Teocht an uisce                 | sular cuireadh isteach an t-oighear | 138.5 g  |
|                                 | tar éis an t-oighear a chur isteach  | 26.8 °C |
|                                 | tar éis an t-oighear a chur isteach  | 17.4 °C |

Úsáid na sonraí sa tábla agus ríomh an fuinneamh a chaille an calraiméadar éis don oighear dul isteach.","$mc\Delta \theta$ [3]
$\Delta t_{\text{cal}} = 9.4$ (°C) [1]
305 J [2]",,,,
"Rinne mac léinn turgnamh chun sainteas folach leáite oighir a thomhas.

| Mais an chalraiméadair copair:  | sular cuireadh isteach an t-oighear | 83.2 g   |
| ------------------------------- | ----------------------------------- | -------- |
| Mais an chalraiméadair + uisce  | tar éis an t-oighear a chur isteach  | 132.9 g  |
| Teocht an uisce                 | sular cuireadh isteach an t-oighear | 138.5 g  |
|                                 | tar éis an t-oighear a chur isteach  | 26.8 °C |
|                                 | tar éis an t-oighear a chur isteach  | 17.4 °C |

Uaidh sin, nó ar shlí eile, ríomh sainteas folach leáite oighir.","$m_{\text{uisce}} = 49.7$ (g); $m_{\text{oighear}} = 5.6$ (g); $\Delta \theta_{\text{ice}} = 17.4$ (°C) [1+1+1]
$ml$ [3]
$(ml)_{\text{oighear}} + (mc\Delta \theta)_{\text{oighear leáite}} = (mc\Delta \theta)_{\text{cal}} + (mc\Delta \theta)_{\text{uisce}}$ [2]
$l = 3.3 \times 10^{5}$ J kg$^{-1}$ [2]",,,,
"Rinne mac léinn turgnamh chun sainteas folach leáite oighir a thomhas.

| Mais an chalraiméadair copair:  | sular cuireadh isteach an t-oighear | 83.2 g   |
| ------------------------------- | ----------------------------------- | -------- |
| Mais an chalraiméadair + uisce  | tar éis an t-oighear a chur isteach  | 132.9 g  |
| Teocht an uisce                 | sular cuireadh isteach an t-oighear | 138.5 g  |
|                                 | tar éis an t-oighear a chur isteach  | 26.8 °C |
|                                 | tar éis an t-oighear a chur isteach  | 17.4 °C |

Luaigh dhá áirí de theirmiméadar a chabhdródh le cruinneas an turgnaimh a fheabhsú.","toilleadh teasa íseal, imolbríonn sé go tapa, tomaiseann sé go 2 ionad de dheachúlacha ar a laghad [2+2]",,,,
"Rinne scoláire fiosrú ar an dóigh chomhrathaigh minicíocht bhunúsach $f$ sreinge atá 70 cm ar fad i gcoibhneas lena teannas $T$. I rith an turgnaimh, coimeádadh fad na sreinge tairiseach, agus d'athraigh an scoláire an teannas.
Taifeadadh na sonraí seo a leanas.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

Conas a fuair an scoláire amach go raibh athshondas i ndiaidh tarlú?",thit an marcach páipéir de / chonacthas dílárthriú uasta sreinge [3],,,,
"Rinne scoláire fiosrú ar an dóigh chomhrathaigh minicíocht bhunúsach $f$ sreinge atá 70 cm ar fad i gcoibhneas lena teannas $T$. I rith an turgnaimh, coimeádadh fad na sreinge tairiseach, agus d'athraigh an scoláire an teannas.
Taifeadadh na sonraí seo a leanas.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

Déan cur síos ar an tslí ar aimsigh an scoláire
an mhinicíocht $f$,",léamh ó ghabhlóg thiúnála / gineadóir comhartha [2],,,,
"Rinne scoláire fiosrú ar an dóigh chomhrathaigh minicíocht bhunúsach $f$ sreinge atá 70 cm ar fad i gcoibhneas lena teannas $T$. I rith an turgnaimh, coimeádadh fad na sreinge tairiseach, agus d'athraigh an scoláire an teannas.
Taifeadadh na sonraí seo a leanas.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

Déan cur síos ar an tslí ar aimsigh an scoláire
an teannas $T$.",léamh ó mhéadar niútain/meáchain [2],,,,
"Rinne scoláire fiosrú ar an dóigh chomhrathaigh minicíocht bhunúsach $f$ sreinge atá 70 cm ar fad i gcoibhneas lena teannas $T$. I rith an turgnaimh, coimeádadh fad na sreinge tairiseach, agus d'athraigh an scoláire an teannas.
Taifeadadh na sonraí seo a leanas.

| f (Hz) | 256 | 320 | 341 | 426.5 | 480 | 512 |
| ------ | --- | --- | --- | ----- | --- | --- |
| T (N)  | 29  | 44  | 51  | 79    | 100 | 115 |

Luaigh an coibhneas idir $f$ agus $T$.",tá an mhinicíocht i gcomhréir le fréamh chearnach an teannais [3],,,,
"Rinneadh turgnamh chun an coibhneas idir sruth $I$ agus difríocht poitéinsil $V$ a fhiosrú i gcás sreang chopair agus rinneadh na sonraí seo a leanas a thaifeadadh.

| V (V) | 1.0  | 2.0  | 3.0  | 4.0  | 5.0  | 6.0  |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- |
| I (A) | 0.14 | 0.26 | 0.43 | 0.58 | 0.70 | 0.84 |

D’úsáid an scoláire a torthaí chun friotachas na sreinge copair a ríomh. Taifeadadh na sonraí breise seo a leanas: 
fad na sreinge = 65 cm 
trastomhas na sreinge = 0.32 mm
Déan cur síos ar an tslí ar ndeárna an scoláire amach fad ag trasthomhas na sreinge copair","fad: méadarslat 
trastomhas: micriméadar/cailpéir dhigiteacha [3+3]",,,,
"Rinneadh turgnamh chun an coibhneas idir sruth $I$ agus difríocht poitéinsil $V$ a fhiosrú i gcás sreang chopair agus rinneadh na sonraí seo a leanas a thaifeadadh.

| V (V) | 1.0  | 2.0  | 3.0  | 4.0  | 5.0  | 6.0  |
| ----- | ---- | ---- | ---- | ---- | ---- | ---- |
| I (A) | 0.14 | 0.26 | 0.43 | 0.58 | 0.70 | 0.84 |

D’úsáid an scoláire a torthaí chun friotachas na sreinge copair a ríomh. Taifeadadh na sonraí breise seo a leanas: 
fad na sreinge = 65 cm 
trastomhas na sreinge = 0.32 mm
Ríomh friotaíocht na sreinge copair.","$\rho = \frac{RA}{l}$, $A = \pi r^2$ [3+2]
$p = 8.7 \times 10^{-7} \Omega \text{ m}$ [3]",,,,
Tá méadarshlat ar crochadh óna meáchanlár mar a thaispeántar sa léaráid.  Tá an mhéadarshlat i gcothromaíocht. Ríomh mais an úill.,"$M = Fd$ [3], $W = mg$ [2], $m = 0.11$ kg [2]",,,,
