problem,answer,problem_image_1,problem_image_2,answer_image_1,answer_image_2
Breac síos dlí imtharraingthe Newton.,"fórsa
idir dhá (phointe) mhais (ar bith) i gcomhréir le hiolrach a maiseanna agus i gcomhréir
inbhéartach leis an bhfad (idir a n-ionaid) cearnaithe.
nó
F $\propto \frac{GMm}{d^2}$
nodaireacht cheart",,,,
"Cainníochtaí fisiceacha is ea mais agus treoluas.
Mínigh conas atá difriocht idir suimiú treoluasanna agus suimiú maiseanna.","is treoluas é veicteoír
is scálach é mais",,,,
"Taispeántar sa léaráid ar dheis liathróid ghaIf atá ar fos ar dhromchla cothrománach 1.5 m ó
phoIl. Buaileann imreoir galf an liathróid sa tslí is go ngluaiseann sí go cothrománach le
treoluas tosaigh 1.2ms$^{-1}$. Luasméadaíonn an liathróid ag 0.4 m s$^{-2}$ agus í ag taisteal go dtí an
poll.
Ríomh treoluas na liathróide nuair a bhaineann sí ciumhais an phoill amach.","$v^2 = u^2 + 2as / v^2 = 1.2^2 + 2(-0.4)(1.5)$
$v = 0.49 (ms^{-1})$",,,,
Ríomh an méad oibre a dhéantar nuair a ardaítear mais 60kg go ceartingearach go hairde 8 m.,"$W =Fs$ nó $W =mgh$
$W = 60×9.8×8 = 4704(J)$",,,,
"Airi amháin de chuid tonnta leictreamaighnéadacha is ea gur trastonnta iad.
Luaigh dhá airí eile.","taisteal ag luas an tsolais /is féidir é a dhíraonach/ is féidir é a pholarú/is féidir leis taisteal i
bhfolús srl
2 cheann ar bith",,,,
"Is féidir go dtarlódh trasnaíocht i léas leictreon.
Cén t-eolas faoi leictreoin is féidir a dhéaduchtú ón bhfioras sin?",tá airionna toInne ag (leictreoin),,,,
"Úsáidtear tonnta ultraîhuaime de thonnfhad 0.4mm agus ar luas 1580ms$^{-1}$ chun fíochán
matáin a scrúdú i gcorp an duine.
Ríomh minicíocht na toinne ultrafhuaime sin.","$f =\frac{c}{\lambda} / f = \frac{1580}{4×10^{-4}}$
$f = 3.95 ×10^6 (Hz)$
[cumhacht mhícheard de 10 ...(-1)]",,,,
"Taispeántar sa léaráid ar dheis dlíshiúithriú s toinne in imeacht ama t.
Cad iad amplitúid agus  minicíocht na toinne sin?","   aimplitiúid= 8 (m)
    minicíocht - 0.1 (Hz)",,,,
"Cén t-airí teirmimeádrach a úsáidtear agus calabrú á dhéanamh ar: gásteirmiméadar toirt-
tairiseach,  teirmiméadar mearcair?","   brú
    fad / airde / toirt (de cholún mearcair)",,,,
Mínigh cad is brí le gluaisne de Brún.,"gluaiseacht cáithníní/móilíní intheicthe mar thoradh ar imbhuailtí le cáithníní nó móilíní
dofheicthe atá ar fuaidreamh i leacht nó i ngás / gluaiseacht thapa/leanúnach /randamach/i
líne dhíreach/thiarlánach de cháithníní nó móilíní beaga",,,,
